;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 14;;;;;;;;;;;;;;;-273,759;-79,014;-105,035;-5,304;108,077;-44,181;-68,046;-55,687;-209,483;-154,264;70,207;-28,524;-258,602;-130,055;-81,291;-143,540;-83,878;-61,215;2410,580;2277,637;-7,055;-175,973;-313,758;-227,257;-78,519;30,083;797,251;93,102;216,217;-115,724;1245,997;-163,757;-74,289;-287,672;-24,441;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-9,974;-26,876;-106,522;-210,873;-124,634;-169,048;-32,899;-183,330;-273,713;-608,944;55,983;-30,190;-119,989;-282,011;-181,817;-32,250;-247,341;-409,032;-100,984;0,712;-62,345;7,182;-79,033;26,047;-11,617;-24,625;74,643;-4,998;74,495;-174,418;-422,241;-51,485;-212,831;12,769;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-232,915;-375,277;2523,096;-39,488;-204,894;-59,481;-114,579;273,490;-55,115;-10,370;-31,553;-101,317;-52,375;-32,115;380,565;1988,449;-145,948;-5,768;45,546;-125,953;-77,203;438,070;24,804;-11,528;22,424;353,298;-69,848;44,503;57,940;-241,068;607,400;690,332;-63,486;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1620,862;-253,876;-143,884;182,291;-231,252;287,992;-250,960;1173,176;123,369;97,268;-266,110;-204,790;559,143;31,445;534,869;-338,040;128,865;-153,716;787,870;517,944;508,207;-292,385;53,849;131,783;-54,347;-192,092;-261,711;-202,392;467,053;53,549;-68,339;-154,286;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3373,101;1211,178;5481,118;-284,514;5253,950;1377,233;6753,539;142,796;-31,567;6021,332;7647,706;7042,008;473,814;3653,463;191,013;18,523;-341,060;6195,040;7380,723;1898,413;5,808;-163,488;-234,971;-340,595;-410,481;274,525;565,590;4558,353;90,565;363,243;-24,207;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-256,930;156,869;-77,782;214,200;4848,570;3200,816;65,635;-306,321;-10,600;260,320;20,457;387,970;2038,771;1600,392;-69,538;98,454;17,100;1904,903;727,161;-242,683;-53,518;129,155;41,546;-79,701;-189,625;1687,280;1131,708;595,661;743,297;-63,338;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1487,478;-174,670;-74,946;-270,345;-342,448;-46,825;-197,185;-143,649;82,575;58,394;124,470;2288,298;864,931;170,829;-121,585;56,841;959,484;257,694;-97,342;-32,461;215,084;1832,357;-96,929;40,857;1205,097;622,551;359,140;741,571;-52,006;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;682,666;11717,195;118,859;-385,956;-15,633;-24,591;-3,776;259,781;-18,881;-96,658;2346,735;3447,733;58,690;-169,638;1995,334;1144,313;119,559;4,225;-38,491;69,267;-112,974;-119,922;-85,576;2123,850;1071,165;264,232;363,231;72,369;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-256,232;-129,980;-596,006;-40,038;-35,096;-33,628;-216,369;41,957;-44,068;-489,436;738,446;-12,833;-47,966;-149,257;-64,227;-261,247;-64,168;19,919;-45,461;-142,775;18,911;37,169;-184,399;-317,807;-142,938;-328,678;-69,011;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;134,153;-654,187;67,199;-60,704;70,531;224,562;42,315;-30,543;2296,382;1272,261;-15,666;-147,966;1822,016;709,250;57,071;158,177;-7,382;-11,691;-92,439;-21,787;29,748;799,830;985,111;373,160;385,715;148,552;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7039,417;-18,148;-318,783;385,636;594,433;-178,695;243,634;839,318;2007,858;-227,259;-59,201;-18,946;-260,608;285,510;52,983;-73,419;-198,550;-5,953;-194,366;-94,167;1771,754;2479,539;-364,546;224,957;-146,667;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;18,375;-281,797;3883,299;4205,545;-392,161;-153,022;6955,259;2004,427;-124,173;-317,198;-174,759;-454,355;1698,119;-124,505;-8,136;-415,260;-255,303;-315,863;-149,014;2091,411;12467,888;2291,075;1029,754;-365,012;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;39,707;-256,339;-115,857;100,826;63,179;189,692;-0,887;-148,226;-158,267;-312,295;-15,270;-85,925;16,423;37,920;-67,026;-157,182;-24,531;-59,153;-23,279;458,231;43,959;-228,832;-139,288;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-563,798;-618,909;235,304;-152,551;-381,098;25,801;-170,731;-30,719;-194,683;333,628;-206,556;5,276;13,347;-29,132;-0,634;11,304;44,189;135,857;-88,873;-161,773;-10,697;-32,992;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9894,100;138,697;305,087;909,787;1250,505;31,021;-193,893;-28,780;220,501;217,824;-68,447;-34,764;-140,149;-139,617;-118,165;-173,319;1302,181;1877,012;369,099;27,484;-11,818;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,824;369,956;1346,741;1455,468;-39,639;-288,701;237,694;-60,090;249,821;-239,828;-36,723;-164,974;-44,563;-332,307;-316,039;1372,071;1750,642;283,155;266,699;-65,888;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66,331;-423,796;-190,022;-61,966;110,457;-53,530;-167,402;52,492;-214,476;-60,832;25,740;-51,379;12,341;-280,060;-9,266;-333,756;-168,895;-402,359;-24,568;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-182,248;22,280;75,432;15,139;-50,237;-130,353;23,506;-57,896;9,143;118,827;109,379;87,864;-13,909;77,681;-216,027;191,153;-43,581;-54,012;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-284,586;-188,843;-341,495;-5,290;-60,310;5536,306;-426,507;-266,739;28,871;-74,429;-524,510;-733,769;-321,776;3946,666;6213,147;5670,920;-223,366;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-206,746;-127,826;-111,543;-317,469;-416,492;-32,895;95,276;88,723;-82,766;621,269;-73,130;10447,164;-234,203;-90,617;-337,871;108,892;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,529;37,101;-252,758;-202,418;16,798;15,461;714,452;132,287;-14,841;95,718;-78,475;-95,958;-83,046;-126,926;19,937;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-168,179;-41,951;-123,091;-150,770;-7,527;-65,283;31,722;-5,212;-83,544;-46,649;-379,437;-66,443;-42,209;-56,553;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-175,157;8,163;-189,027;33,579;6,422;-112,828;-9,546;5,806;-40,640;-116,869;-155,677;-171,691;-6,008;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-270,466;-198,659;-54,744;-124,165;-289,358;-19,723;-76,549;-219,878;-582,053;-189,008;-18,100;-23,439;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-44,525;-58,211;-76,609;-103,205;-196,785;-160,648;-86,818;-229,538;132,183;-273,472;-192,519;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-63,297;-118,103;-15,715;-129,194;3153,224;-125,186;-464,854;16,914;-426,072;-153,379;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,086;20,878;21,237;-55,507;60,784;4,949;-122,787;-15,103;-4,027;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110,190;-11,631;-66,492;-87,338;-126,843;-151,115;83,358;218,015;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,463;4,368;-18,792;-178,980;113,783;-148,667;-91,528;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-118,796;5,474;-231,403;-37,791;-180,151;5,545;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,643;-418,484;-146,395;-341,986;-126,669;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-103,150;-221,772;-173,294;-30,206;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-305,316;-233,249;-134,319;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-138,308;-179,447;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,131;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
