;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 11;;;;;;;;;;;;2262,287;1,297;-18,206;0,068;-2,711;47,012;215,919;61,398;105,306;240,331;19,833;246,635;135,079;499,115;168,595;17,309;-57,014;23,492;280,108;36,169;569,407;370,077;-2,367;-0,133;26,086;-62,447;100,985;1325,521;-2,207;-21,293;158,842;28,805;1317,198;236,867;369,011;299,393;130,817;-12,646;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;13,758;-32,782;-8,832;-144,784;122,114;2913,582;-0,197;103,437;383,191;-48,900;461,959;689,238;5758,441;-51,640;34,282;120,116;-108,506;863,832;12,494;1789,036;-17,159;-72,732;-32,323;248,774;718,312;656,733;2671,699;0,257;-55,823;49,072;39,507;2617,299;117,993;2960,447;660,962;293,845;-16,385;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;128,503;-1,433;8,106;0,929;47,178;-1,135;-2,073;20,966;0,017;27,130;-1,844;-5,360;0,662;1,812;-5,300;43,097;25,458;-4,042;-9,784;4,321;-0,881;-3,754;13,517;0,700;1,330;4,547;-0,102;-0,631;11,134;2,232;1,480;8,383;7,311;4,143;-3,968;1,404;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-8,184;-8,238;-7,999;565,840;98,020;39,969;96,659;5,851;78,838;21,280;41,495;23,572;15,424;112,716;131,883;77,890;-12,875;112,995;2342,228;2009,325;-18,504;-8,830;-40,128;-24,722;-1,282;7,668;659,783;-16,520;200,357;-8,073;1200,115;42,568;71,910;-15,876;2,599;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;82,121;6,308;69,434;21,792;64,461;2,127;4,747;2,277;-11,335;7,065;-3,459;-4,582;-2,107;11,948;1,028;12,848;3,669;24,450;-6,603;2,302;8,214;16,052;1,575;13,066;-0,145;0,776;64,749;8,946;13,848;-4,661;-10,818;-5,196;-2,493;0,732;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;30,132;-49,122;2543,008;177,712;14,507;29,706;47,544;328,341;-60,532;11,197;14,166;-84,241;-72,645;-106,677;289,393;2175,960;171,308;-25,282;15,500;33,952;70,836;660,582;-10,809;-0,064;-10,483;174,311;11,135;-5,096;93,481;-38,579;703,667;782,137;0,159;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1832,897;132,464;118,788;539,053;-11,361;467,895;116,935;1854,172;10,575;12,444;97,627;264,006;766,451;132,763;884,346;330,610;-1,026;21,783;691,606;280,532;625,985;48,018;0,033;39,429;28,794;12,284;53,117;273,216;760,327;154,898;139,593;8,410;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3938,499;1769,419;5784,183;-38,971;5107,386;1645,267;6958,366;426,333;723,300;6071,564;8085,264;6598,363;772,023;4331,013;773,108;331,044;238,493;5721,564;7344,900;2065,018;755,283;-1,789;271,395;199,757;65,612;746,823;794,597;4211,924;693,518;1231,309;-11,314;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;209,370;344,337;-17,485;364,775;4559,089;3317,490;-53,028;68,222;17,349;232,937;237,126;213,371;2287,791;1903,061;116,973;84,591;254,126;2154,903;636,878;60,992;-1,532;169,015;88,669;10,004;68,524;1810,249;1397,040;695,907;821,667;19,748;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1538,590;22,889;158,110;163,097;66,255;-42,993;-5,104;-39,764;257,595;146,061;93,736;2409,371;1148,616;100,070;28,887;160,582;1074,812;372,048;34,429;-2,485;114,061;1765,830;-4,126;29,261;1151,179;753,302;457,076;722,097;6,807;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;996,238;10873,587;233,691;80,173;106,612;-1,030;430,915;934,147;435,552;184,139;2498,959;3365,852;-27,552;85,054;1727,005;691,018;247,526;289,902;-2,570;33,748;86,482;85,907;283,123;2155,104;1071,009;446,606;357,293;88,327;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-13,558;-26,633;-24,361;16,766;4,986;-16,294;-10,162;-32,011;7,992;182,408;916,971;12,482;11,267;-23,406;2,926;-2,563;-2,751;-0,982;13,328;-4,192;-3,997;-3,488;8,843;-34,345;-8,773;0,502;4,793;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;236,808;127,225;41,218;-16,953;415,958;737,131;364,178;191,101;2413,025;1317,739;-49,339;34,426;1518,720;485,684;196,661;336,400;0,223;28,173;45,104;104,939;334,744;958,294;1159,169;470,259;397,977;97,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;6788,369;-30,465;29,796;323,687;394,710;204,422;264,816;616,085;1980,660;38,308;18,031;129,158;98,927;99,309;255,100;0,381;-35,500;35,185;18,531;255,875;1892,510;2325,862;-35,786;200,396;-4,402;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-0,422;71,854;4237,753;4406,961;50,384;-0,206;6606,346;2098,489;-27,715;40,813;298,092;-14,331;1999,582;515,622;0,975;-38,434;6,228;9,285;503,250;2178,843;11789,948;2011,324;1218,077;10,922;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;142,261;0,258;-15,513;0,619;32,921;51,260;-32,393;35,113;10,307;-26,954;-56,242;-16,640;-26,423;1,318;18,992;-10,580;2,393;-31,837;-14,376;27,340;49,341;33,440;-1,137;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,539;9,376;42,453;14,001;152,209;174,051;8,492;-2,919;41,094;467,585;51,077;11,936;1,335;-4,658;12,361;6,412;12,641;163,487;54,030;20,196;32,943;-2,009;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9011,144;213,669;429,476;1468,619;1428,280;59,813;-4,790;251,324;459,225;652,802;-24,769;0,136;50,478;0,359;0,611;-23,307;1499,755;2136,166;338,709;375,729;6,670;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313,370;460,438;1891,634;1758,647;40,450;2,963;709,905;439,847;724,569;-68,583;1,320;100,483;13,590;14,720;-78,135;1740,809;2237,248;460,827;517,732;57,317;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,590;-87,703;107,828;19,342;-4,114;-100,670;8,669;-6,776;-39,964;-4,124;-17,593;-30,236;9,242;-44,440;159,490;37,190;-103,072;30,332;-25,804;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;242,551;62,909;-31,336;19,798;50,616;-14,879;78,433;-10,695;-0,657;-2,829;3,780;3,767;-8,395;31,134;34,107;63,919;104,552;-0,260;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358,760;-59,961;36,533;306,974;252,435;5343,248;36,806;5,826;-4,141;-20,754;-5,453;7,830;347,475;4058,742;5545,690;5573,051;-3,996;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,871;-16,285;-1,745;45,735;25,089;-4,043;0,420;175,137;-38,337;497,504;5,903;10377,369;39,416;-27,720;76,042;196,546;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,209;-28,894;-36,645;-19,658;-26,100;7,352;661,755;-20,422;4,777;-20,152;-65,928;-59,986;19,602;-29,749;4,572;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,039;1,937;20,922;-11,263;0,455;0,355;3,787;-8,004;-11,542;-11,480;7,729;-16,760;-8,404;-0,041;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,297;15,516;-34,636;-0,641;-11,897;20,040;-10,671;-31,486;23,674;28,147;46,441;56,579;4,812;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12,511;-9,681;-0,805;-12,506;-23,232;5,415;-11,624;52,211;-62,183;47,382;24,666;5,609;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,188;0,741;6,614;34,759;-23,996;37,312;44,116;102,987;53,535;52,475;10,619;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,741;-33,049;2,299;10,248;3056,101;0,741;34,218;-28,485;52,988;-7,597;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,707;-1,481;5,786;-2,668;-1,958;0,373;3,258;-1,037;-0,167;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,778;0,656;-31,310;-40,393;20,701;9,267;-30,632;209,332;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,426;8,242;-27,302;-23,457;-6,863;-19,297;-5,926;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,312;-27,140;26,302;21,748;-3,988;-0,270;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,443;34,017;-27,107;49,564;-7,807;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,792;-74,576;26,903;-23,804;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-85,165;24,485;10,362;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,506;-3,633;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,273;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
