;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 23;;;;;;;;;;;;;;;;;;;;;;;;265,642;18,719;-7,383;74,243;181,158;503,807;133,857;115,846;2520,552;1353,417;-96,038;-81,273;2051,923;771,869;197,188;290,520;-5,185;142,486;-10,890;18,458;273,317;1020,898;1237,422;479,260;391,733;97,496;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7158,037;71,015;-0,813;582,587;878,096;141,465;344,430;749,631;2060,894;-60,696;-52,105;-11,833;-51,752;248,189;67,362;-24,136;-123,743;54,080;-69,586;167,145;1953,539;2426,184;-104,553;145,750;-129,609;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-15,006;-40,652;4210,496;4568,638;18,278;-90,879;6934,974;2131,419;-110,397;52,730;-36,624;32,699;2018,501;206,522;-30,910;-192,216;91,799;-224,912;229,526;2186,172;12444,358;2662,729;1216,631;-211,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;145,514;-99,585;-149,823;-26,808;-34,191;55,101;25,549;-103,569;21,003;-103,515;-48,223;-56,517;83,602;26,043;-60,608;-61,639;36,136;104,709;35,838;49,580;-40,276;-69,812;-56,729;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-146,991;-280,786;112,414;-55,452;-113,599;-14,732;-109,097;-26,926;-61,497;441,979;44,632;74,700;28,697;-2,730;32,059;-7,188;83,115;17,623;-100,097;-43,254;29,245;-13,352;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9884,655;170,154;325,942;1370,321;1373,362;-2,082;-2,665;50,040;353,561;504,747;-75,664;-20,379;37,333;70,619;-23,660;42,675;1392,606;1980,650;457,308;380,310;-10,055;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163,924;321,479;1705,843;1700,957;-22,780;-58,366;482,436;273,571;688,813;44,393;-22,925;125,894;-10,333;-128,240;137,689;1636,934;2276,419;445,331;413,981;80,504;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,452;-103,362;112,193;0,364;55,320;7,671;-105,629;106,398;-80,897;-51,450;43,579;-28,310;9,961;-148,639;96,188;-43,991;-28,627;-165,279;-27,442;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228,771;33,281;-38,572;16,247;-44,132;9,788;21,244;-2,082;5,857;49,301;70,869;38,937;-30,887;-38,741;-91,680;29,041;107,256;24,188;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142,831;-27,150;-14,924;-51,026;20,926;5419,300;-245,394;-216,467;-6,129;33,726;-190,464;-298,200;195,749;4141,910;6257,791;5727,877;-149,558;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,307;20,375;-37,547;-37,549;-97,436;-30,090;105,372;275,240;38,888;537,601;-41,212;10752,002;-167,794;-50,925;-75,398;261,821;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,330;29,937;-107,832;-52,046;-61,351;18,243;688,334;26,737;-5,578;-6,386;91,792;-188,767;13,806;8,722;-5,609;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12,453;-36,445;-35,191;-9,903;0,337;-10,141;35,281;11,911;-8,825;15,434;70,189;-55,792;5,405;1,772;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,780;111,580;10,998;38,158;-11,091;-59,308;24,429;-32,152;-57,925;-179,332;-55,191;43,713;13,264;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-15,939;22,061;-42,586;1,333;-43,198;44,439;21,644;-124,009;-49,461;84,999;41,062;21,101;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,373;-75,619;-102,633;-67,398;-62,449;37,207;-34,469;-101,315;61,339;-206,609;-54,597;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-62,565;-56,090;42,745;-46,691;3143,972;-115,957;-217,534;-107,222;-223,153;-9,745;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,603;26,073;21,270;-44,866;42,488;29,040;-133,527;12,606;-0,694;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,001;-0,288;-67,329;37,951;-56,088;13,295;25,556;220,428;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18,128;68,924;88,483;-63,254;28,943;-10,316;-39,558;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-24,003;-25,677;-125,249;25,223;-48,338;22,234;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-83,259;-103,301;-29,993;-249,818;-34,262;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36,787;-177,121;-19,511;0,007;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-90,365;220,221;-25,675;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105,550;-64,657;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,140;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
