;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 11;;;;;;;;;;;;2188,576;-45,716;-49,680;-53,674;87,746;-18,396;51,586;-97,583;-45,336;-73,803;-157,183;19,572;118,553;600,858;47,884;153,291;-142,332;-68,437;214,217;-24,649;317,875;145,644;17,178;-82,244;106,172;-124,812;100,834;1350,866;-38,900;-150,632;96,047;15,654;1295,608;99,973;592,101;114,048;94,562;-47,503;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-55,677;-31,118;-92,926;-63,076;-197,103;2906,115;-235,862;-41,776;-208,433;-185,301;-103,566;556,913;5761,478;17,885;80,202;-61,290;11,502;972,131;47,852;1537,573;-86,692;-103,009;-130,241;56,636;867,786;494,309;2653,686;-71,977;-276,270;-83,079;-79,367;2557,760;17,805;2715,400;781,420;146,732;-211,750;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;139,429;-11,547;39,259;-57,404;-452,275;23,036;-49,666;-16,187;-48,246;1,023;-23,227;-152,363;-26,214;65,833;13,096;-15,876;-45,678;-46,207;-330,766;68,110;39,977;-29,800;-94,729;-192,117;-162,277;-80,510;3,070;33,816;22,973;0,670;-51,571;34,094;-54,688;-60,751;-129,712;10,367;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-44,963;-43,264;8,198;272,877;108,416;130,310;139,343;-57,618;62,979;-13,316;-89,259;-128,441;-240,435;126,171;130,664;-31,755;-98,791;-82,586;2545,931;2204,434;-15,438;-113,861;-141,716;-130,727;13,207;29,601;778,113;-105,966;258,302;1,275;1352,534;-160,895;-46,438;-29,567;24,853;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;94,614;-98,055;19,754;-38,387;6,449;-29,741;-27,777;-56,847;-85,728;-255,517;76,473;-10,023;3,781;-69,732;20,553;-0,956;133,806;-96,047;-14,667;-9,372;7,402;-129,488;15,228;8,073;-12,562;-8,053;92,380;1,116;11,469;-86,986;-205,261;5,058;-96,396;25,390;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-132,747;-360,960;2582,881;172,782;-96,487;-24,286;-28,041;246,439;-157,612;38,934;-30,199;-190,586;-179,506;20,049;402,037;2171,220;43,422;36,736;12,557;-11,661;-196,871;582,867;102,856;-11,197;-56,246;257,738;-65,751;47,518;-2,827;-349,618;785,635;666,950;-19,869;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1849,835;-209,291;-88,613;281,450;-73,505;474,967;-269,157;1455,566;12,204;33,207;-79,680;-16,828;752,640;19,885;642,783;-19,024;71,419;-72,886;855,983;343,049;624,156;6,679;40,447;16,418;-57,270;-75,645;-36,750;54,869;411,757;69,480;32,917;35,484;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3577,395;1455,260;5906,003;-462,156;5237,609;1581,740;7434,837;199,437;423,568;6084,692;7881,754;7041,451;453,584;3873,297;463,663;72,277;75,713;6481,124;7791,363;2175,575;596,361;-88,309;75,178;65,084;-194,148;588,748;591,095;4698,665;493,304;529,634;-64,478;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-12,950;361,284;-45,703;310,931;4769,869;3047,826;-118,622;-61,305;0,628;259,494;236,040;412,047;2034,396;1859,142;157,590;211,882;-38,313;1911,321;534,023;-107,690;-33,526;179,558;166,542;-17,590;-170,271;1955,980;1096,126;770,731;765,000;-122,284;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1547,201;-89,502;74,648;-181,053;-286,398;-26,709;-1,230;-141,114;-50,695;182,576;211,166;2280,891;1058,355;162,177;-85,839;-31,741;996,484;205,137;78,822;-28,838;133,594;2001,696;-140,628;55,139;1235,822;678,399;363,954;775,098;-8,646;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;981,896;11673,983;178,332;-187,609;59,177;40,205;127,972;587,548;47,502;24,847;2501,771;3518,678;-14,285;-29,550;2191,868;929,466;-54,955;277,644;-16,350;83,754;-56,528;60,803;102,013;2417,963;1023,473;362,867;336,921;46,662;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-43,294;-160,162;-548,301;-153,578;-12,218;-115,269;-205,333;-130,458;-99,058;-556,763;692,207;9,119;-55,330;-64,635;-42,264;-211,122;37,379;29,619;-3,416;-99,115;-23,069;27,335;-117,606;-259,429;-104,000;-196,390;-32,586;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;240,057;-320,246;4,045;-2,885;116,889;376,952;117,143;-54,222;2242,166;1272,272;-140,208;24,095;1998,424;819,367;11,455;277,620;18,960;-26,303;-41,545;26,177;99,962;1125,799;1040,819;360,612;218,681;31,243;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7063,038;-54,249;-164,781;548,637;836,411;63,705;329,728;786,382;2015,651;-77,043;-25,520;-92,995;-63,390;98,312;154,430;-61,001;-217,645;-9,889;-76,084;145,259;2081,508;2368,197;-136,579;168,809;-215,682;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-261,072;70,686;4106,728;4475,885;-86,621;-117,707;6721,574;2208,844;-4,671;-266,080;55,192;-107,110;1906,275;-90,241;-6,904;-313,431;-5,042;-222,872;7,990;2148,118;12510,456;2306,237;1106,546;-446,221;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;94,117;-168,302;-135,279;141,290;6,273;77,310;-124,690;-110,381;-79,667;-158,215;3,231;-42,263;48,882;19,943;-30,578;-175,158;10,025;48,236;-106,632;107,330;-111,371;-12,485;-83,672;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-259,808;-211,188;7,117;-67,873;-134,486;8,625;-181,154;-34,123;-75,073;421,560;-40,634;71,689;22,216;18,616;31,398;39,265;94,542;45,842;-54,469;-65,620;51,597;-20,039;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9828,519;80,051;403,734;1199,772;1312,433;-4,837;-173,711;26,625;382,337;376,957;78,800;-12,040;-91,358;-17,309;47,548;-6,018;1454,759;1867,185;362,136;97,487;-64,210;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,584;424,796;1448,555;1469,607;61,885;-235,075;339,107;277,720;461,437;123,847;-66,486;7,492;-35,932;-91,582;73,693;1511,673;2153,392;263,926;182,604;-39,157;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-83,460;-230,436;71,414;-96,720;125,009;23,454;-23,483;144,086;-306,773;-48,505;-14,346;-14,371;-42,353;-200,253;60,214;-118,121;-77,741;-365,776;23,663;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155,396;57,407;30,116;-42,670;2,266;-99,815;21,248;-17,735;1,292;89,442;17,430;9,093;-21,519;-33,015;-199,157;-1,783;12,440;-31,247;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,443;11,465;-215,927;-60,756;55,606;5410,245;-242,455;-184,656;-110,239;59,799;-213,894;-349,616;149,660;4072,528;6172,053;5741,854;-266,892;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-16,050;-109,529;-289,691;-85,861;-303,835;-99,319;98,721;-23,594;-52,808;653,450;70,685;10661,396;-133,463;-71,349;-152,728;252,703;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-32,370;3,916;-188,485;-110,362;-1,703;18,861;717,905;61,704;-10,942;4,250;76,968;-42,803;7,208;85,929;16,036;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-30,818;-73,562;-143,729;-16,100;-9,302;-4,618;47,898;-18,249;-26,168;-70,523;29,688;-133,330;-28,805;-46,227;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70,062;89,245;-62,026;45,861;-29,406;-78,186;19,948;-82,178;-75,083;-152,464;-55,883;-80,833;-68,614;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,879;-106,722;-47,458;-0,127;-145,589;-0,253;-130,155;-176,834;-305,342;-17,285;44,020;90,265;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,190;-79,324;-81,760;-50,812;-20,945;38,071;-130,328;-234,716;16,323;-209,613;-23,710;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-68,403;-134,321;78,200;-120,225;3133,597;-112,376;-251,752;-27,609;-226,328;-89,250;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,178;38,073;19,877;-66,487;34,918;16,069;-132,644;-0,304;-4,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,158;34,010;-94,500;-150,857;-145,342;-109,172;-27,354;228,945;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-37,764;23,691;18,989;-9,933;47,870;-91,637;-42,068;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-79,394;48,822;-93,777;-40,769;-35,845;27,778;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,881;-238,666;-59,191;-355,566;-100,122;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167,049;-131,955;-4,452;-18,012;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-345,786;187,590;-60,998;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,760;-208,827;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17,659;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
