;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 11;;;;;;;;;;;;2356,839;8,378;-38,619;-21,277;27,626;3,047;211,367;30,000;112,099;181,616;-30,176;200,076;254,151;664,426;159,960;66,181;-24,750;162,854;204,485;2,931;495,810;375,101;-10,363;0,819;64,893;29,308;84,300;1394,184;-5,994;-19,883;133,234;36,888;1370,042;260,047;476,688;252,043;173,178;-22,443;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;37,944;-3,678;-16,061;47,676;-30,627;2992,386;-5,705;66,965;263,132;22,717;232,783;662,317;5939,940;14,143;70,119;-56,734;31,354;1157,968;-7,403;1833,771;33,599;-13,209;26,048;328,437;887,993;506,269;2731,654;-14,170;-73,649;55,748;-10,481;2642,914;53,558;2967,190;941,313;353,223;-43,272;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;127,569;2,261;27,923;-40,835;41,860;-18,860;19,914;31,095;-20,076;46,122;7,266;-35,248;8,677;-2,932;27,733;63,276;22,798;11,986;48,471;52,034;1,971;-10,082;46,538;-38,507;-22,994;11,314;4,190;7,970;8,426;24,417;8,130;9,440;-40,009;48,138;-10,002;13,411;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;8,155;-24,923;32,399;504,266;127,661;113,854;181,877;-17,815;108,611;50,882;49,041;-28,791;-14,272;28,507;132,371;15,782;8,129;155,521;2444,424;2133,863;-39,623;41,744;-7,373;-4,321;-11,501;6,378;705,898;-51,055;241,243;-39,972;1286,113;91,673;64,677;-61,573;-13,523;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;54,519;-10,785;98,638;4,116;-3,144;-46,711;-2,080;-36,665;15,061;58,948;0,913;-9,059;36,107;56,255;7,555;16,002;-12,740;11,303;7,362;2,948;-4,635;-28,673;6,468;29,586;-0,377;8,920;50,301;0,812;31,678;-35,336;-3,496;-39,264;32,069;-5,522;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;32,584;-6,944;2671,984;115,551;15,979;23,902;17,510;374,343;-29,394;-19,564;4,687;-65,453;-47,183;-15,745;335,508;2282,430;66,508;-3,478;23,199;4,888;-8,667;678,492;35,990;-0,645;-12,850;138,386;-10,233;35,692;73,634;-49,159;785,570;732,929;-29,505;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1852,758;-30,441;25,312;463,885;6,940;466,665;23,409;1887,630;30,122;-3,260;7,547;90,776;770,606;96,593;1112,313;248,956;15,107;11,689;806,554;176,820;711,271;31,453;1,799;71,719;-10,376;8,153;12,295;199,073;720,767;248,771;99,365;11,840;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;4039,361;1697,479;6193,257;-31,295;5594,911;1736,194;7356,516;436,418;570,081;6250,589;8340,622;7128,317;750,183;4297,269;771,829;407,819;151,257;6455,997;7674,265;2148,138;803,240;-6,817;411,675;146,321;129,725;757,330;665,193;4706,753;768,283;1072,151;-59,534;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;83,694;331,707;41,968;297,205;4729,184;3383,171;37,748;31,939;193,320;518,964;259,810;337,349;2259,130;1892,452;189,870;76,274;188,034;1977,463;688,125;43,235;0,651;220,450;64,971;33,562;14,114;1862,537;1498,520;793,601;802,803;-51,325;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1558,984;-47,629;111,868;40,033;19,985;-24,668;23,868;52,106;160,768;280,066;52,624;2320,296;1278,265;74,512;-41,468;136,015;1107,002;275,009;38,974;-9,735;112,801;1995,028;47,507;29,093;1274,506;796,772;477,792;778,476;-44,097;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;1017,826;11710,317;72,729;-13,130;32,434;-1,458;337,083;824,164;354,132;170,423;2361,191;3566,722;107,481;18,174;2261,866;1014,580;158,409;395,331;13,116;120,404;78,385;112,532;292,857;2380,873;1215,890;435,008;385,277;113,858;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;4,347;10,391;-71,686;20,784;-0,640;-68,674;-61,820;-28,842;33,091;212,817;824,372;-0,556;11,977;8,902;-7,890;-23,321;-3,667;-2,016;14,842;-36,147;-19,326;6,344;-41,129;-30,546;-5,768;-10,329;9,719;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;75,877;-21,638;66,178;21,930;357,055;650,657;334,622;188,499;2428,492;1354,315;96,697;-9,593;2030,355;716,433;203,525;385,325;19,066;109,330;15,335;121,329;283,840;1130,152;1216,924;476,563;328,128;85,856;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7151,643;-0,049;-42,873;806,251;868,867;127,585;304,545;659,146;1911,714;108,872;16,702;71,638;43,714;181,253;255,262;8,344;4,886;-16,192;24,856;211,956;1892,147;2491,625;50,818;169,527;-18,701;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;21,426;-18,122;4476,824;4582,161;28,329;-9,820;6866,039;2127,144;60,377;82,466;25,745;34,998;2100,313;505,895;-4,788;17,205;-39,719;-8,693;455,626;2112,201;12578,951;2676,779;1191,228;-107,807;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;104,008;-45,725;-23,780;39,316;62,560;96,880;-4,421;-26,042;3,186;-98,114;16,894;17,472;2,455;6,201;0,339;-26,070;28,857;50,572;-19,893;65,969;46,177;12,821;-17,177;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,063;-44,010;13,370;19,256;75,586;119,704;6,220;-13,994;-22,406;458,047;18,152;25,652;2,631;4,171;28,200;-7,845;41,565;117,885;56,439;-0,335;51,275;-22,111;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9695,993;130,571;463,898;1603,857;1472,090;91,170;16,180;283,507;393,230;566,595;25,306;5,660;73,736;-16,953;36,063;68,670;1482,092;2134,817;476,787;476,858;10,930;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151,410;563,872;1849,360;1773,520;144,613;0,482;737,931;430,176;649,654;41,313;5,182;166,773;-28,431;25,588;75,849;1729,108;2302,462;500,554;607,945;31,909;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,437;-67,392;119,524;15,238;64,924;69,439;5,054;-3,812;-35,932;-27,911;-3,395;31,148;-17,439;-40,237;105,566;-9,787;-87,579;37,237;-38,717;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285,321;61,336;-16,047;38,350;12,434;-21,245;38,450;-11,737;13,701;27,942;-3,696;-4,605;-16,084;18,380;53,733;74,432;128,413;21,108;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,501;-20,812;29,686;168,423;35,924;5507,878;10,860;4,491;55,156;34,331;-42,750;47,391;182,348;4054,514;6239,951;5679,940;-38,119;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74,006;10,996;17,532;12,825;-8,963;61,707;-9,182;174,536;-15,718;543,956;37,788;10555,312;-6,943;66,410;47,874;223,404;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,227;19,670;41,040;-20,570;-14,233;1,375;672,016;-39,360;33,407;-19,877;41,659;-54,590;-0,362;-25,858;-11,520;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31,737;-42,257;-29,387;-11,077;-5,704;-17,921;-14,997;0,959;-9,244;29,465;-46,294;-16,866;31,526;-14,745;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,120;7,103;36,352;7,138;17,431;2,775;29,031;0,698;-4,238;-32,940;48,899;58,813;-7,295;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,086;-9,545;12,116;22,335;-44,117;38,015;-8,789;4,926;-120,298;-33,367;17,941;39,692;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,267;-5,057;-3,989;-22,202;-9,883;4,180;-41,703;-22,907;-12,804;-2,327;-7,835;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,029;3,237;-11,380;-14,903;3136,524;52,682;-29,021;-1,813;19,608;-10,459;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,838;-14,827;6,383;-8,811;-17,932;15,344;3,463;-13,177;-0,277;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-40,276;26,429;-23,013;-56,329;-9,849;12,877;41,796;223,620;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,647;-24,080;16,141;-22,344;31,588;0,614;-33,759;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13,809;25,394;69,626;-36,275;-16,921;-16,015;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,061;-19,749;5,638;22,316;-13,749;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,258;38,613;38,903;6,542;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,624;15,610;-97,151;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,741;-51,748;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,799;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
