;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 14;;;;;;;;;;;;;;;-3,870;-117,636;-71,375;490,453;199,573;-80,912;271,641;33,888;305,188;176,964;131,728;62,801;177,614;-94,582;-38,973;58,875;-29,613;8,265;2246,464;2105,204;-154,199;-35,896;-135,250;-106,996;96,836;-0,438;654,373;-126,274;98,142;77,279;1245,963;83,386;4,503;-25,563;-71,055;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1,811;-75,638;50,224;-85,132;-4,514;-246,738;-26,472;-112,202;-32,572;-61,573;-68,877;-17,455;23,726;33,332;-41,209;3,824;-170,889;-111,386;-16,653;-8,321;-55,647;-90,699;-118,218;81,044;0,169;18,157;10,890;11,835;47,362;-164,359;49,904;-64,394;37,292;-16,308;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;99,645;345,788;2765,922;136,535;48,789;79,689;6,208;450,755;96,088;27,854;25,980;50,046;18,567;2,081;298,644;2228,166;-43,782;-115,426;67,517;124,221;-15,626;715,471;7,909;4,036;-81,821;202,672;-24,432;2,820;-99,623;-6,690;911,714;785,512;-17,268;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1819,216;38,606;39,097;281,462;-76,903;338,722;75,825;1843,723;154,888;-19,595;43,884;5,870;877,611;104,944;1068,450;336,220;41,673;-12,417;802,272;104,295;797,932;-33,413;14,582;-16,462;-10,765;27,458;5,163;192,752;633,004;204,797;177,130;73,723;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;4091,250;1903,903;6016,129;-228,836;5441,140;1766,311;7398,992;431,141;1044,158;6516,604;8537,063;7120,791;831,932;3811,338;749,080;588,939;-84,551;6381,210;7651,395;2445,396;555,431;-24,541;484,543;396,123;323,234;658,038;631,839;4569,919;848,130;1263,669;184,168;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-6,907;174,480;-172,888;198,197;4825,218;3462,705;-74,911;152,461;200,728;661,070;265,260;323,454;2249,629;1962,552;216,925;49,718;-132,260;2038,493;659,025;8,216;-7,569;126,615;57,055;-43,403;52,450;1979,341;1606,341;955,066;759,974;-4,241;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1572,419;-91,500;167,459;-16,491;-40,462;-26,936;-10,091;25,582;233,291;314,438;66,825;2278,675;1133,865;70,467;-111,844;141,697;1159,886;376,094;-91,923;3,226;-89,708;2020,302;26,543;-49,027;1185,016;880,916;517,182;594,270;-47,386;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;894,012;11513,949;41,060;-197,249;107,650;-84,397;227,449;860,886;169,607;173,266;2256,795;3442,064;221,840;-65,957;2215,719;986,958;96,687;246,098;19,642;248,625;-108,353;19,238;209,295;2241,452;1434,796;519,999;439,530;161,497;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-106,658;-55,411;-112,291;-64,999;-12,352;-184,575;-298,998;-109,154;113,719;101,570;642,646;-10,644;88,357;-111,707;-18,843;0,848;17,288;-4,928;15,919;-45,109;-99,869;25,418;-174,273;-21,236;-97,841;-17,214;20,620;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;119,886;107,201;150,760;-42,590;314,747;823,748;235,459;168,388;2450,327;1526,910;118,263;-43,595;1972,301;804,175;245,831;136,071;23,243;240,653;-91,311;32,272;264,146;960,090;1436,967;605,833;379,247;112,785;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7108,655;37,497;87,390;642,841;892,393;-30,790;261,038;832,758;1830,052;279,370;-55,612;-11,669;-37,531;-22,859;149,731;-1,274;5,490;-13,473;-40,625;145,971;1855,701;2539,883;-11,911;349,148;-30,038;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-256,743;74,288;4416,973;4613,327;-253,719;-108,536;6822,497;1962,572;19,388;106,345;-19,542;145,092;1943,239;535,249;-4,121;25,739;198,536;-112,224;514,166;1758,406;12421,117;2591,210;1146,231;-161,833;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;85,663;25,153;-82,540;111,879;61,202;-10,712;-123,685;86,522;-26,960;-93,943;13,326;53,236;71,982;6,839;1,241;43,928;-1,330;0,886;-60,916;-192,316;6,118;-58,350;-48,356;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,646;-22,451;-25,620;21,238;167,368;131,224;140,227;-25,559;6,490;696,202;35,188;4,939;5,369;16,460;17,696;24,230;22,793;147,673;192,945;-155,820;40,040;-17,379;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9741,619;152,206;555,380;1560,300;1269,736;79,225;-90,213;395,612;336,390;501,450;20,071;8,558;136,676;53,642;116,719;21,642;1375,881;2014,651;510,250;526,304;-49,640;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,331;705,073;1960,127;1657,742;-94,286;1,962;887,186;428,867;728,005;21,482;2,934;170,640;4,846;-178,689;37,851;1716,200;2324,668;508,151;629,703;20,302;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63,455;-94,723;119,146;39,595;28,018;-50,227;-65,648;114,966;-183,503;-28,648;-0,321;4,634;-11,933;-181,724;132,686;21,736;-155,314;129,877;21,533;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;497,071;185,196;-4,399;70,190;-34,788;-96,914;28,496;-75,525;12,132;66,828;-101,046;-0,031;-62,194;153,265;44,925;88,547;138,015;6,585;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175,555;-295,075;86,437;66,758;-138,096;5773,342;-7,762;-3,085;-62,467;10,294;-184,950;-13,801;36,494;4106,877;6199,145;5726,686;2,584;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-124,725;-21,953;-136,174;27,830;-29,948;20,580;1,060;109,535;-25,844;437,085;61,305;10636,580;170,946;98,132;-137,153;193,446;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-139,269;35,011;-40,232;-72,845;49,681;-4,267;631,804;-79,181;-38,278;81,822;-43,811;-193,224;-31,336;0,922;-39,263;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,643;-169,126;47,121;46,559;-8,179;-34,215;-64,430;-51,578;49,097;-17,783;-49,587;-89,202;106,979;-2,636;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-101,046;26,193;36,677;14,559;102,445;40,044;-14,889;33,857;-128,280;-202,442;147,393;45,048;52,196;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,683;-20,813;18,123;30,073;40,117;-7,907;124,732;44,498;41,644;-23,742;-23,198;137,205;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72,875;-7,978;-18,285;110,384;37,295;18,646;-36,643;68,083;40,358;0,802;46,687;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,338;-65,832;-61,713;-10,185;3052,880;-144,054;-70,756;-137,710;-48,211;-62,207;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,878;-11,908;5,866;-2,074;3,531;17,978;-6,589;-16,769;-0,326;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-30,421;-34,869;-75,742;-41,778;29,839;-19,229;30,324;182,825;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,098;-52,202;107,076;16,475;127,515;-10,789;-78,633;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13,820;-21,100;140,880;-91,202;81,784;-23,278;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-148,943;-100,959;-142,605;-10,637;-89,114;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135,042;65,652;-218,864;19,850;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,507;-98,408;-137,153;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,437;-21,129;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,147;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
