;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315,629;-6,106;42,852;45,507;126,739;5160,668;31,037;0,371;46,909;-35,417;15,592;19,971;264,137;3805,285;5535,220;5542,691;10,237;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,078;-11,836;16,479;18,935;18,175;-23,687;3,272;200,896;-3,295;497,886;-18,007;9965,728;46,423;23,154;52,895;210,337;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,980;-4,801;-16,388;9,552;10,223;7,845;670,264;-8,796;7,241;11,423;-0,192;23,075;-11,784;-2,080;3,762;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,257;2,952;-8,864;-1,844;-0,145;3,461;0,968;-2,526;-2,082;-13,107;-20,270;0,632;0,397;0,690;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,832;-17,248;11,264;0,032;1,048;7,889;13,023;6,980;-3,000;8,818;-4,893;-5,154;9,017;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,929;5,229;0,760;-4,821;1,225;-5,908;5,334;20,764;-56,355;63,047;23,051;4,149;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,683;0,031;9,752;8,883;3,191;-3,416;-4,969;-23,475;12,341;10,928;9,004;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,636;1,500;-10,162;-2,234;3054,069;-26,651;63,178;2,018;-2,687;-6,089;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,175;-0,352;4,940;-0,620;-0,971;1,708;-1,120;-0,058;-0,042;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,978;3,480;2,486;-12,827;15,492;2,110;9,323;210,337;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,135;-8,166;3,010;-12,093;-23,316;-9,830;1,514;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,728;-11,696;33,255;7,288;-3,479;-1,607;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,453;62,070;-1,908;0,359;-5,846;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,317;5,982;48,393;-0,729;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,368;-22,585;-0,794;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;1,464;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,632;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
