;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;206,238;159,946;168,225;181,469;11,531;21,852;177,781;240,676;-24,191;185,237;151,070;20,355;15,618;69,050;49,590;40,776;-49,761;-7,113;9,832;92,510;29,745;1403,309;279,400;650,390;239,810;198,299;0,000;0,000;94,681;0,000
Router 12;;;;;;;;;;;;;5,210;205,173;48,193;14,463;476,153;298,328;117,497;87,245;183,152;292,367;278,793;103,649;20,492;-16,725;-24,054;201,002;54,688;-27,420;4,393;63,386;-29,499;22,701;-52,576;-23,565;30,403;0,000;0,000;-23,297;0,000
Router 13;;;;;;;;;;;;;;2768,871;23,440;10,691;-19,563;118,845;41,291;60,139;2765,899;33,629;51,375;100,150;-58,271;-55,660;-7,730;807,514;-4,148;-1,793;10,380;338,193;-24,481;40,108;-32,630;-10,150;23,910;0,000;0,000;-65,993;0,000
Router 14;;;;;;;;;;;;;;;30,227;14,230;151,026;219,218;394,571;7396,063;11393,093;221,906;232,458;428,061;162,732;1097,779;294,009;1258,715;32,712;173,958;57,387;342,397;34,981;1410,938;1396,352;447,995;738,573;0,000;0,000;154,400;0,000
Router 15;;;;;;;;;;;;;;;;344,849;59,415;193,153;54,829;-1,272;214,132;56,741;43,584;12,136;-87,655;-52,509;96,226;-41,009;-5,415;-11,313;79,418;3,505;50,831;102,481;-51,181;-15,556;15,952;0,000;0,000;-79,667;0,000
Router 16;;;;;;;;;;;;;;;;;-25,038;-30,687;-14,927;-8,674;109,110;-2,404;-4,783;9,700;26,960;-30,772;67,942;-14,988;-5,557;13,114;17,521;14,599;3,943;41,043;-74,884;-15,924;-36,722;0,000;0,000;32,067;0,000
Router 17;;;;;;;;;;;;;;;;;;3521,460;281,502;139,444;833,515;57,460;54,947;15,047;863,300;145,497;635,922;225,947;-31,914;51,298;-3,593;-6,741;-15,394;71,310;941,694;230,272;71,378;0,000;0,000;936,458;0,000
Router 18;;;;;;;;;;;;;;;;;;;544,851;159,034;1771,433;258,459;329,228;93,272;89,023;574,116;1421,019;409,174;13,107;152,037;214,475;25,343;337,997;638,334;2537,838;94,715;358,450;0,000;0,000;92,324;0,000
Router 19;;;;;;;;;;;;;;;;;;;;374,540;1192,805;207,686;295,899;313,888;149,146;1969,717;733,039;58,405;72,225;198,604;94,886;90,186;12,078;1871,000;2267,224;746,430;815,851;0,000;0,000;109,539;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7327,104;132,313;106,892;299,182;177,721;1136,027;277,077;489,125;41,534;172,374;23,197;9,250;50,738;1320,812;1292,143;447,190;784,780;0,000;0,000;182,948;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;586,044;600,141;597,405;203,411;1600,764;6260,309;1909,599;132,934;122,026;142,790;340,039;83,462;1505,773;1571,123;440,185;808,103;0,000;0,000;175,230;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9914,447;422,173;2090,834;689,680;192,989;2,734;18,393;169,724;45,255;129,279;344,638;1204,885;1731,679;499,888;287,283;0,000;0,000;2063,739;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;235,560;2098,667;701,434;184,131;42,391;6,613;144,138;58,610;124,215;338,157;1176,458;1817,867;482,044;347,275;0,000;0,000;2076,328;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;89,440;29,708;136,711;-25,166;-26,818;117,817;-10,902;44,997;220,110;83,110;1006,791;20,294;203,324;0,000;0,000;105,405;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;47,790;-16,484;189,246;452,681;46,777;17,257;47,578;-8,167;17,310;28,259;36,483;32,392;0,000;0,000;6347,657;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;563,180;453,969;73,130;18,874;-16,745;21,579;16,284;-8,659;124,982;74,041;13,151;0,000;0,000;30,583;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;556,203;77,842;-8,025;71,937;-40,169;33,621;128,418;52,701;4,646;35,386;0,000;0,000;0,735;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29,812;40,805;-8,383;20,154;60,940;1451,810;2511,773;446,375;429,021;0,000;0,000;249,107;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,729;42,613;-22,550;26,168;172,299;183,933;41,753;188,128;0,000;0,000;468,048;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,863;25,012;-23,950;116,629;-41,373;1,717;20,772;0,000;0,000;35,627;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,323;-24,015;65,986;194,491;99,188;78,429;0,000;0,000;20,768;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-34,093;155,964;213,603;38,828;102,995;0,000;0,000;53,254;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,061;-13,259;5,638;22,316;0,000;0,000;2,787;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,847;38,613;38,903;0,000;0,000;-69,197;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6253,335;53,350;0,000;0,000;36,057;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,741;0,000;0,000;44,265;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;51,703;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
