;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73,261;36,349;-5,716;-191,610;-352,853;75,366;108,499;0,000;0,000;-152,006;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,557;-41,582;-52,091;165,983;177,693;-65,011;0,000;0,000;-123,565;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-115,868;28,536;-283,459;120,803;-146,692;0,000;0,000;-67,939;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,643;-689,766;-146,395;-341,986;0,000;0,000;-74,732;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-76,069;-221,772;-173,294;0,000;0,000;61,485;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6216,905;-180,027;0,000;0,000;-342,580;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-138,308;0,000;0,000;-121,550;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-111,089;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
