;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;216,341;148,255;150,955;194,320;12,096;29,556;209,029;271,362;-8,999;255,988;198,295;88,919;17,111;19,242;-74,935;75,491;-48,554;-25,460;-26,393;139,708;18,798;1307,778;265,864;608,782;301,513;129,116;0,000;0,000;21,972;0,000
Router 12;;;;;;;;;;;;;27,379;218,638;39,594;22,683;548,306;355,014;185,120;73,607;195,499;365,186;378,133;110,252;58,289;-9,885;6,933;267,114;5,245;-0,356;-11,275;93,542;16,584;-8,804;50,384;10,491;-14,562;0,000;0,000;57,259;0,000
Router 13;;;;;;;;;;;;;;2231,223;18,410;4,997;47,736;82,215;118,868;41,802;2279,799;95,712;90,988;85,750;26,872;31,476;-7,074;319,875;-12,135;5,358;34,837;195,564;13,035;7,918;-66,226;-14,607;43,661;0,000;0,000;26,774;0,000
Router 14;;;;;;;;;;;;;;;27,181;45,721;314,787;263,564;278,738;7072,092;10998,552;318,789;358,507;433,635;262,282;1147,431;265,780;930,827;-15,185;161,587;24,323;199,604;-10,306;1175,203;1367,420;523,516;783,205;0,000;0,000;261,068;0,000
Router 15;;;;;;;;;;;;;;;;322,146;-21,239;109,462;-86,563;-15,655;123,640;8,170;23,221;22,354;-27,822;-57,432;64,770;5,721;9,592;15,853;53,666;-3,621;-10,231;32,599;-39,916;14,072;40,430;0,000;0,000;-34,225;0,000
Router 16;;;;;;;;;;;;;;;;;-25,974;-22,392;3,673;31,829;89,454;-32,622;-25,482;20,882;-3,755;-22,991;50,004;6,382;-7,733;-0,462;0,859;3,293;3,339;58,921;23,326;8,749;7,550;0,000;0,000;-2,028;0,000
Router 17;;;;;;;;;;;;;;;;;;3156,998;432,272;235,730;964,968;58,286;5,988;55,535;736,160;282,656;623,139;442,474;15,214;34,208;72,750;-37,987;9,110;1,669;912,082;295,477;176,906;0,000;0,000;749,182;0,000
Router 18;;;;;;;;;;;;;;;;;;;430,598;161,424;1659,165;423,507;465,815;70,064;-30,245;532,369;1176,927;452,967;9,608;141,008;239,299;3,471;352,516;624,495;1959,687;288,218;387,985;0,000;0,000;-31,781;0,000
Router 19;;;;;;;;;;;;;;;;;;;;213,531;1200,841;294,195;262,606;83,168;38,684;2095,861;726,829;177,835;36,447;152,949;106,111;2,808;-52,035;1869,649;2134,045;584,621;855,345;0,000;0,000;45,261;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7169,899;105,072;174,710;278,852;158,089;1120,057;305,027;447,811;8,045;166,501;-19,536;-44,443;13,749;1145,903;1320,516;477,531;751,187;0,000;0,000;153,551;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;609,097;683,727;549,950;287,465;1584,058;5947,240;1725,969;32,900;165,050;117,724;282,003;30,475;1545,181;1471,876;538,307;894,328;0,000;0,000;295,983;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;8989,985;341,034;1509,027;478,844;148,806;14,303;5,470;41,536;38,431;112,065;325,887;919,902;1675,420;496,413;330,786;0,000;0,000;1503,911;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;219,925;1434,000;471,268;168,697;7,249;20,538;63,668;31,805;115,399;337,704;963,067;1647,243;481,868;326,582;0,000;0,000;1428,883;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;38,323;43,281;142,319;-0,783;20,913;110,221;7,964;45,211;188,642;76,219;853,467;-29,040;160,825;0,000;0,000;37,028;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;18,796;21,669;222,565;420,127;-14,740;31,258;47,295;-24,142;27,881;171,642;48,182;80,530;0,000;0,000;5039,269;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;461,381;423,810;36,848;1,209;-18,030;53,758;-16,972;87,899;184,538;93,040;21,038;0,000;0,000;9,262;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;685,582;59,309;12,856;98,677;57,060;66,104;236,737;178,641;81,189;88,380;0,000;0,000;19,045;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29,100;50,152;-32,241;3,188;-2,870;1488,609;2357,574;382,658;385,578;0,000;0,000;218,250;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,329;-12,107;6,721;-15,992;169,481;256,013;71,632;174,320;0,000;0,000;419,390;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,014;19,913;-34,159;108,362;41,985;12,762;-55,016;0,000;0,000;-15,621;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,182;0,854;25,686;30,476;38,902;65,244;0,000;0,000;25,829;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,371;144,196;219,348;96,804;80,487;0,000;0,000;40,422;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,443;27,073;-27,107;49,564;0,000;0,000;-34,752;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,812;-74,576;26,903;0,000;0,000;24,871;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5596,977;-92,611;0,000;0,000;94,631;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,506;0,000;0,000;36,592;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;50,828;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
