;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;206,160;151,482;152,708;180,512;19,415;44,213;220,868;275,532;0,568;234,839;131,192;19,216;4,610;49,824;4,054;66,989;31,948;-8,122;2,420;122,820;12,191;1313,137;228,557;653,800;264,838;173,101;0,000;0,000;45,703;0,000
Router 12;;;;;;;;;;;;;20,690;220,276;33,449;10,383;439,901;307,180;183,743;88,405;215,322;315,783;330,633;105,574;63,363;1,923;1,568;209,730;27,620;-2,517;1,116;83,749;-10,166;-12,424;35,531;1,548;-26,411;0,000;0,000;64,159;0,000
Router 13;;;;;;;;;;;;;;2007,433;-3,610;0,297;22,247;32,757;59,820;19,304;1989,323;51,025;59,152;94,390;-6,106;37,257;0,099;257,484;-9,887;21,342;14,132;180,062;-10,822;7,334;-41,563;-9,863;3,226;0,000;0,000;-5,911;0,000
Router 14;;;;;;;;;;;;;;;45,188;30,392;198,777;225,378;197,063;7033,255;10364,452;213,497;246,718;354,221;107,846;1126,967;293,996;671,650;-9,385;164,741;22,007;174,018;53,690;1210,095;1335,326;515,085;719,214;0,000;0,000;107,880;0,000
Router 15;;;;;;;;;;;;;;;;322,794;-11,225;164,643;-17,319;40,870;181,587;43,700;51,939;18,756;-8,790;-9,237;68,931;21,978;7,144;-0,077;67,575;-6,696;10,600;53,293;-16,120;-4,001;35,061;0,000;0,000;-10,181;0,000
Router 16;;;;;;;;;;;;;;;;;-13,022;2,612;12,960;32,697;88,271;4,621;2,834;6,926;-1,640;-2,792;54,654;3,515;-4,024;2,742;3,057;0,009;2,462;67,329;18,607;7,051;8,660;0,000;0,000;-0,900;0,000
Router 17;;;;;;;;;;;;;;;;;;2955,211;322,338;153,993;808,825;174,485;143,481;24,454;741,568;195,823;616,918;297,114;7,635;30,094;21,075;5,207;52,090;156,306;930,063;216,528;123,837;0,000;0,000;742,368;0,000
Router 18;;;;;;;;;;;;;;;;;;;455,486;185,559;1462,894;409,287;392,499;41,213;103,961;529,126;1200,655;429,366;24,707;120,881;175,677;52,865;357,692;576,664;1894,513;165,351;321,351;0,000;0,000;93,460;0,000
Router 19;;;;;;;;;;;;;;;;;;;;162,684;955,845;340,396;334,498;114,402;67,667;1926,512;698,421;135,320;33,011;182,691;80,297;-5,294;21,372;1804,742;2188,749;707,407;778,172;0,000;0,000;69,716;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7013,851;147,710;165,060;268,712;118,485;1121,532;276,599;387,274;-0,936;137,837;8,960;2,497;65,688;1188,368;1316,519;486,760;719,072;0,000;0,000;115,868;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;575,248;628,400;544,236;77,701;1623,712;5780,606;1294,231;60,857;170,166;111,905;227,284;66,525;1361,896;1408,976;537,101;791,701;0,000;0,000;80,738;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;8116,482;377,465;1366,903;273,095;226,322;-37,073;3,241;110,755;3,185;118,935;330,939;815,869;1712,206;477,883;284,349;0,000;0,000;1368,020;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;233,787;1374,691;287,427;243,680;-30,228;-2,996;108,047;15,970;126,266;328,137;797,744;1670,836;458,791;296,996;0,000;0,000;1374,081;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;81,646;47,132;178,413;-4,391;23,679;128,167;10,742;40,547;184,549;53,498;847,476;14,592;149,003;0,000;0,000;86,689;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;30,469;-13,149;205,860;392,630;6,216;14,832;59,381;10,075;6,748;98,010;2,793;2,360;0,000;0,000;5038,839;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;473,142;445,421;67,580;9,609;22,125;18,254;5,440;51,284;108,119;101,007;29,076;0,000;0,000;19,982;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;593,349;65,724;10,716;78,041;52,297;8,090;126,368;57,610;25,084;46,170;0,000;0,000;-11,171;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,000;65,394;13,327;2,558;17,276;1390,356;2328,418;409,602;438,087;0,000;0,000;203,778;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,023;23,465;9,155;12,853;156,058;210,741;66,653;146,431;0,000;0,000;392,332;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,231;16,115;-0,283;113,976;36,741;9,034;4,829;0,000;0,000;3,213;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,614;-1,253;41,298;66,683;28,831;71,045;0,000;0,000;8,455;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,133;148,901;227,354;78,930;86,419;0,000;0,000;59,242;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,453;63,674;-1,908;0,359;0,000;0,000;4,716;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,306;5,982;48,393;0,000;0,000;-9,025;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5518,320;-95,933;0,000;0,000;27,458;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;0,000;0,000;-7,834;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-8,014;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
