;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 19;;;;;;;;;;;;;;;;;;;;518,032;1168,190;371,895;210,712;489,059;-125,432;2042,781;811,747;164,188;-78,371;126,291;142,499;237,974;-44,631;1789,442;2270,362;1053,080;839,536;0,000;0,000;-220,398;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7276,102;331,839;298,318;342,759;134,686;1290,904;465,618;456,277;26,671;53,020;-125,105;74,112;-51,071;1552,086;1624,770;538,574;606,992;0,000;0,000;44,241;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;568,967;530,419;598,834;78,016;1670,950;6502,125;1767,331;-17,228;-121,297;140,027;256,293;56,942;1642,210;1528,608;238,732;707,811;0,000;0,000;26,876;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9847,041;423,385;1993,654;715,899;105,157;-161,114;-52,436;194,004;-234,508;122,620;282,429;1098,569;1990,526;541,345;223,872;0,000;0,000;1950,432;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;155,100;2166,654;855,781;5,572;-8,145;-90,658;167,335;-165,702;59,163;331,570;1024,041;1929,254;492,735;203,085;0,000;0,000;2181,326;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-81,715;95,555;150,636;-22,158;-41,839;211,532;28,928;-87,760;81,442;-6,573;675,416;-4,272;225,241;0,000;0,000;-22,324;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-83,091;-30,961;270,445;451,974;157,097;100,597;-136,148;239,225;-125,864;49,369;88,093;134,226;0,000;0,000;6390,036;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;522,900;342,098;242,108;-132,442;-139,966;-117,918;36,947;-13,161;-22,436;80,576;-215,155;0,000;0,000;-40,068;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;549,630;-32,992;71,540;187,165;-165,143;159,264;-104,922;-16,846;76,134;-55,745;0,000;0,000;-146,008;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29,082;134,041;79,682;46,469;-69,208;1579,796;2401,961;563,238;559,893;0,000;0,000;339,481;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,731;113,732;-35,299;20,020;52,804;197,063;197,352;106,491;0,000;0,000;511,758;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-92,534;90,265;-64,449;113,350;155,271;173,365;37,952;0,000;0,000;152,805;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,797;-128,809;218,707;294,461;208,469;-18,492;0,000;0,000;84,267;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-51,371;189,783;-169,711;-171,458;79,944;0,000;0,000;-96,798;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96,828;-132,013;-62,000;50,722;0,000;0,000;237,441;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-103,886;4,756;-77,504;0,000;0,000;-89,959;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6171,842;-94,625;0,000;0,000;5,003;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240,529;0,000;0,000;88,228;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;141,992;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
