;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;223,000;178,000;199,000;185,000;21,000;33,000;233,000;245,000;16,000;264,000;142,000;20,000;9,000;40,000;40,000;56,000;16,000;0,000;11,000;116,000;22,000;1352,000;229,000;718,000;255,000;190,000;0,000;0,000;40,000;0,000
Router 12;;;;;;;;;;;;;13,000;193,000;13,000;13,000;485,000;297,000;168,000;84,000;200,000;337,000;337,000;97,000;41,000;2,000;7,000;228,000;33,000;0,000;12,000;80,000;0,000;24,000;39,000;4,000;12,000;0,000;0,000;41,000;0,000
Router 13;;;;;;;;;;;;;;2745,000;9,000;6,000;10,000;55,000;25,000;24,000;2721,000;82,000;82,000;103,000;12,000;0,000;0,000;769,000;3,000;11,000;15,000;333,000;0,000;12,000;12,000;6,000;1,000;0,000;0,000;12,000;0,000
Router 14;;;;;;;;;;;;;;;56,000;33,000;176,000;249,000;261,000;7371,000;11477,000;237,000;235,000;412,000;146,000;1135,000;317,000;1259,000;17,000;153,000;36,000;338,000;52,000;1281,000;1379,000;453,000;757,000;0,000;0,000;146,000;0,000
Router 15;;;;;;;;;;;;;;;;335,000;15,000;191,000;16,000;42,000;207,000;78,000;73,000;21,000;10,000;1,000;88,000;0,000;0,000;3,000;68,000;5,000;14,000;69,000;28,000;10,000;5,000;0,000;0,000;10,000;0,000
Router 16;;;;;;;;;;;;;;;;;0,000;6,000;10,000;24,000;100,000;10,000;8,000;6,000;5,000;0,000;65,000;0,000;0,000;2,000;0,000;0,000;2,000;66,000;23,000;10,000;0,000;0,000;0,000;5,000;0,000
Router 17;;;;;;;;;;;;;;;;;;3507,000;284,000;130,000;870,000;118,000;105,000;41,000;860,000;172,000;670,000;276,000;2,000;13,000;10,000;7,000;61,000;124,000;952,000;242,000;116,000;0,000;0,000;860,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;507,000;172,000;1835,000;373,000;367,000;77,000;90,000;535,000;1514,000;391,000;14,000;109,000;214,000;51,000;358,000;613,000;2533,000;184,000;380,000;0,000;0,000;88,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;231,000;1001,000;323,000;322,000;159,000;113,000;1961,000;707,000;129,000;21,000;174,000;70,000;10,000;25,000;1828,000;2276,000;760,000;777,000;0,000;0,000;113,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7346,000;137,000;135,000;304,000;131,000;1133,000;289,000;480,000;10,000;127,000;21,000;2,000;52,000;1219,000;1276,000;444,000;755,000;0,000;0,000;131,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;624,000;622,000;599,000;151,000;1625,000;6296,000;1879,000;98,000;157,000;113,000;386,000;60,000;1411,000;1457,000;466,000;781,000;0,000;0,000;150,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9969,000;416,000;2061,000;795,000;245,000;10,000;0,000;123,000;49,000;125,000;344,000;1145,000;1734,000;499,000;328,000;0,000;0,000;2061,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;267,000;2061,000;795,000;245,000;9,000;0,000;122,000;48,000;125,000;344,000;1145,000;1734,000;499,000;328,000;0,000;0,000;2061,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;88,000;32,000;184,000;13,000;1,000;127,000;17,000;53,000;211,000;112,000;948,000;7,000;181,000;0,000;0,000;88,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;11,000;4,000;230,000;441,000;6,000;2,000;35,000;0,000;13,000;68,000;6,000;5,000;0,000;0,000;6401,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;489,000;426,000;60,000;12,000;27,000;42,000;0,000;24,000;113,000;46,000;8,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;600,000;80,000;2,000;74,000;46,000;4,000;116,000;51,000;13,000;24,000;0,000;0,000;3,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,000;63,000;19,000;6,000;18,000;1493,000;2552,000;459,000;437,000;0,000;0,000;230,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,000;20,000;0,000;12,000;176,000;221,000;63,000;147,000;0,000;0,000;441,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;14,000;0,000;134,000;5,000;1,000;3,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,000;2,000;42,000;86,000;50,000;82,000;0,000;0,000;2,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,000;178,000;211,000;70,000;90,000;0,000;0,000;35,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6255,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
