;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;216,341;148,255;138,542;194,320;12,096;45,381;207,172;263,972;-7,911;266,574;182,415;65,141;17,111;38,827;-101,741;63,279;-30,813;-25,460;-26,393;139,708;18,798;1307,778;282,822;664,530;305,790;137,085;0,000;0,000;38,082;0,000
Router 12;;;;;;;;;;;;;27,379;209,311;39,594;22,683;550,045;399,529;188,033;81,510;229,439;366,251;353,436;110,252;55,922;-0,586;7,840;247,934;5,245;-0,356;-11,275;93,542;16,584;5,478;96,477;7,874;-28,542;0,000;0,000;58,433;0,000
Router 13;;;;;;;;;;;;;;2312,224;18,410;4,997;54,195;80,683;117,243;56,133;2374,525;85,980;86,626;85,750;25,022;49,301;-24,272;462,115;-12,135;5,358;34,837;195,564;13,035;3,480;-93,608;-11,545;38,091;0,000;0,000;22,113;0,000
Router 14;;;;;;;;;;;;;;;18,686;33,815;200,545;233,099;407,803;7245,324;11230,609;257,242;240,004;430,665;186,318;1157,029;309,652;1097,548;-33,426;146,515;41,248;217,344;1,745;1238,328;1154,866;494,663;800,721;0,000;0,000;185,443;0,000
Router 15;;;;;;;;;;;;;;;;322,146;-4,392;88,658;-60,796;-3,449;161,992;12,736;5,494;22,354;-42,760;-68,782;61,315;21,615;9,592;15,853;53,666;-3,621;-10,231;11,277;-14,959;11,276;37,218;0,000;0,000;-46,033;0,000
Router 16;;;;;;;;;;;;;;;;;-25,899;-20,716;14,172;40,092;110,757;-29,403;-33,209;20,882;-13,456;-27,935;57,219;6,526;-7,733;-0,462;0,859;3,293;3,339;47,798;23,735;0,051;4,484;0,000;0,000;-10,426;0,000
Router 17;;;;;;;;;;;;;;;;;;3270,659;335,799;226,958;900,463;131,819;45,324;43,939;763,495;301,695;614,466;339,256;25,599;25,062;81,609;-31,206;55,625;77,189;966,458;271,324;155,468;0,000;0,000;759,775;0,000
Router 18;;;;;;;;;;;;;;;;;;;464,342;78,777;1639,165;392,314;406,129;94,941;-3,298;526,290;1260,594;409,251;21,522;143,951;248,535;11,110;358,409;640,229;2277,422;262,995;341,439;0,000;0,000;-11,182;0,000
Router 19;;;;;;;;;;;;;;;;;;;;299,470;1092,959;396,006;299,813;89,303;131,050;2099,461;775,483;184,981;35,265;162,720;63,460;5,081;-30,763;1862,290;2110,822;536,388;869,405;0,000;0,000;136,177;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7278,624;55,600;74,289;297,966;148,149;1225,520;308,923;432,370;10,871;157,909;-27,156;-34,512;16,101;1223,043;1205,988;451,421;747,136;0,000;0,000;149,102;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;622,429;534,471;548,745;158,839;1701,723;6080,580;1891,498;33,554;168,202;112,509;280,056;47,153;1492,525;1377,932;516,711;856,160;0,000;0,000;162,344;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9229,050;363,524;1703,027;605,310;186,508;48,932;9,831;31,105;25,031;127,547;330,214;1068,061;1738,452;506,974;277,497;0,000;0,000;1663,848;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;197,792;1719,100;578,132;157,786;54,489;14,567;49,754;42,530;129,488;335,147;1060,778;1689,197;442,292;287,907;0,000;0,000;1673,535;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;25,512;50,427;142,336;-16,320;20,913;110,221;7,964;45,211;188,642;83,049;913,242;-21,031;157,623;0,000;0,000;34,191;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-29,550;8,023;240,227;439,031;-13,345;54,097;44,835;-25,147;-1,441;125,862;69,214;23,810;0,000;0,000;5600,055;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;489,039;442,299;47,798;-6,637;-20,176;41,765;-24,465;132,887;151,011;72,432;65,683;0,000;0,000;-28,762;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;694,492;61,066;20,343;90,285;64,285;54,035;196,959;184,148;56,925;41,357;0,000;0,000;4,866;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33,902;50,255;-25,415;8,604;16,882;1479,096;2548,551;378,413;413,632;0,000;0,000;227,037;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,329;-12,107;6,721;-15,992;162,729;257,124;75,652;176,003;0,000;0,000;437,954;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,014;19,913;-34,159;114,050;59,443;11,151;-58,585;0,000;0,000;-15,365;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,182;0,854;14,619;49,741;46,644;71,669;0,000;0,000;46,600;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,371;146,698;207,478;100,147;77,405;0,000;0,000;36,586;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,215;19,676;-8,676;44,166;0,000;0,000;-40,182;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33,213;-54,794;27,188;0,000;0,000;1,256;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5912,593;-100,639;0,000;0,000;44,091;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-141,019;0,000;0,000;63,026;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;2,435;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
