;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,614;-1,253;41,298;56,084;28,831;71,045;0,000;0,000;8,455;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,133;148,901;227,103;78,930;86,419;0,000;0,000;59,242;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,453;67,794;-1,908;0,359;0,000;0,000;4,716;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,303;5,982;48,393;0,000;0,000;-9,025;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5415,733;-75,602;0,000;0,000;16,725;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;0,000;0,000;-7,834;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-8,014;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
