;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;24;0;10;0;0;12;0;0;0;0;0;0;0;12;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0;0;2;6;3;0;38;1;12;5;9;0;1;0;154;26;87;2;0;0;1;1;0;2;317;0;116;0;1;0;3;0;0;6;0;0;0;0;0;0;0;0;0;0;597;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;0;0;3;0;0;0;107;0;0;0;34;3;0;88;0;0;1;0;0;0;0;0;0;0;0;0
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;20;0;14;0;0;0;0;0;5;7;0;14;5;0;0;0;3;0;2;0;0;0;0;0;0;0;11;3;6;0;2;0;3;1;0;3;0;1;6;0;0;0;1;0;0;7;0;0;0;0;1;0;0;19;2;3;9;3;1;0;3;1;0;0;0;5;0;0;0;0;0;0;0;0
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2;0;0;11;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;61;1;0;3;0;4;0;0;0;0;0;0;0;0;0;0
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;3;0;26;0;16;2;0;5;0;3;0;0;0;0;0;0;0;2;1;3;2;24;0;2;0;0;2;0;0;3;0;3;0;0;0;0;64;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;10;0;6;0;0;0;0;0;0;0;0;0;0
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;15;0;36;0;0;0;0;0;7;10;0;96;0;0;11;0;1;0;1;0;0;0;0;0;2;0;21;2;1;5;84;10;6;11;0;1;0;0;10;0;16;1;4;0;0;5;0;1;0;0;11;0;0;2;0;0;1;5;65;1;2;6;0;11;7;0;0;0;0;0;0;0;0;0
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;187;0;630;0;0;0;0;0;109;23;0;100;0;0;474;0;9;0;2;33;0;15;0;0;0;12;93;18;60;45;33;0;3;3;15;12;0;0;23;0;843;0;168;0;0;664;0;0;0;0;0;0;0;8;0;7;55;0;55;3;11;752;61;170;109;0;0;0;0;0;0;0;0;0
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;36;0;20;0;0;0;0;0;35;0;0;8;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;735;0;0;0;0;0;0;0;3;0;0;8;0;51;0;0;1043;0;11;35;0;0;0;0;0;0;0;0;0
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;868;0;476;0;0;0;0;0;346;42;0;205;5;0;279;0;7;0;18;0;0;171;0;0;12;10;74;101;167;106;16;8;7;33;171;6;22;29;13;0;88;0;421;0;0;777;0;20;0;0;105;0;1;206;26;15;153;197;530;32;143;1163;0;173;345;0;0;0;0;0;0;0;0;0
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;422;0;364;0;0;0;0;0;390;41;0;9;0;0;9;0;1;0;1;0;0;0;0;0;7;165;75;108;23;45;2;1;1;0;0;0;0;1;40;0;27;0;1278;0;0;285;0;0;0;0;32;0;0;25;0;2;6;7;602;16;0;604;0;436;390;0;0;0;0;0;0;0;0;0
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;434;0;3652;0;0;0;0;0;387;6;1;18;4;0;137;0;2;0;4;0;0;0;0;4;1;0;3;47;17;61;3;1;3;13;0;1;0;0;6;0;86;0;678;0;0;394;0;0;0;0;137;0;0;24;5;0;12;0;1192;18;0;912;0;324;387;0;0;0;0;0;0;0;0;0
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;691;0;2552;0;0;0;0;0;397;14;0;93;0;0;77;0;24;0;1;0;0;0;0;0;3;0;10;70;138;60;45;36;5;13;0;0;0;0;14;0;56;0;874;0;0;124;0;0;0;1;98;0;0;9;0;1;12;23;681;33;0;498;0;313;397;0;0;0;0;0;0;0;0;0
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1547;0;255;0;0;0;0;0;358;2;0;857;0;0;7;0;1;0;0;0;0;0;0;0;0;0;28;40;4;22;11;5;9;5;0;0;0;0;2;1;75;0;224;0;0;163;0;0;0;0;24;0;0;12;0;0;15;2;483;22;1;333;1;130;358;0;0;0;0;0;0;0;0;0
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;0;107;0;0;0;0;0;0;2;0;39;0;0;0;0;1;0;0;0;0;57;0;0;1;0;0;32;14;2;0;0;0;0;0;0;39;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;4;14;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;932;804;714;1407;30;3;6422;518;1;6791;0;325;253;38;847;30;409;0;90;0;95;0;0;0;0;2;4246;22;381;362;0;0;0;171;871;278;229;1;76;0;234;0;0;1;0;0;0;0;0;0;683;0;0;408;343;854;494;2;2243;395;101;6;5431;213;0;0;0;0;0;0;0;0
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3206;3108;727;410;1;457;296;8;1109;23;1119;3161;37;403;10;33;408;337;2256;769;78;795;1638;2900;3787;302;678;47;16;50;0;670;897;1;41;156;92;2791;2;2482;0;0;1344;0;8;0;2;395;0;3;24;0;18;123;46;4198;56;109;4762;24;448;436;16;0;0;0;0;0;0;0;0
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;175;30;0;163;3;2;190;2;54;3;0;1;0;57;2;6;28;9;85;82;92;160;21;15;22;2;3;9;0;3;27;0;927;2;1;0;0;151;0;0;0;0;81;0;1;19;1;116;118;69;902;71;102;517;0;317;140;34;0;0;0;0;0;0;0;0
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;179;12;0;200;16;0;145;0;15;10;17;0;0;7;0;0;6;62;93;56;50;19;93;6;71;8;0;21;11;0;12;0;1132;0;794;0;0;94;0;0;0;0;31;0;25;3;0;8;69;88;164;8;135;505;24;158;153;1;0;0;0;0;0;0;0;0
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;163;18;0;449;1;0;37;0;86;17;1;4;0;2;0;3;8;0;2;52;35;78;27;260;0;1;0;11;107;0;18;0;64;0;24;0;0;65;0;2;0;1;1;0;3;14;1;1;44;162;85;12;475;299;0;7;120;40;0;0;0;0;0;0;0;0
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;21;0;0;9;0;0;60;0;0;0;0;0;0;7;0;0;0;0;10;0;0;0;0;0;0;0;0;4;0;0;0;0;24;0;8;0;0;119;0;0;0;0;0;0;0;0;0;0;5;0;15;0;0;167;0;0;21;0;0;0;0;0;0;0;0;0
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;0;1074;0;251;217;31;116;0;3;0;82;0;90;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;1;0;0;0;0;0;0;683;0;0;0;0;0;11;2;0;62;0;6;5436;213;0;0;0;0;0;0;0;0
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35;0;10;10;0;83;0;15;0;0;0;51;0;0;0;7;1;3;2;35;0;1;0;0;0;0;445;574;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;67;2;44;8;0;0;0;0;0;0;0;0;0
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;5276;0;21;0;18;1;1;10;3;0;1;0;1;3;2223;28;1502;467;2;0;0;1096;1021;0;0;0;182;0;666;0;0;594;0;1;0;2;49;0;323;5;0;50;2288;83;1486;4;420;1985;0;13;592;72;0;0;0;0;0;0;0;0
Router 54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Router 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;947;76;805;1;0;0;0;0;0;0;8;0;4;27;74;13;0;0;0;0;0;0;0;9;1;0;53;0;255;0;0;38;0;0;0;0;14;0;0;1;0;0;5;0;530;36;0;541;36;151;251;0;0;0;0;0;0;0;0;0
Router 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;838;0;0;0;1;0;80;0;15;254;45;19;29;20;480;0;20;0;0;1;0;9;1;0;178;0;171;0;0;561;0;0;0;2;49;0;0;19;0;0;13;0;880;47;0;1554;36;300;217;0;0;0;0;0;0;0;0;0
Router 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;28;31;0;0;0;0;0;0;0;0;0
Router 58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;107;0;0;332;0;0;0;0;0;14;5;9;9;0;1;0;0;0;0;61;20;0;440;0;60;0;0;80;0;0;0;0;57;0;0;19;0;0;12;0;836;12;0;1182;1467;35;116;0;0;0;0;0;0;0;0;0
