15.0: [{13=34}, {14=33}, {17=20}, {19=23}, {24=25}]
14.0: [{10=27}, {15=21}, {21=29}, {21=37}, {26=30}, {32=33}]
13.0: [{13=15}, {15=31}, {17=25}, {25=37}, {27=39}]
12.0: [{9=29}, {10=36}, {12=40}, {13=28}, {13=37}, {15=36}, {29=36}]
11.0: [{9=35}, {12=34}, {17=33}]
10.0: [{7=19}, {9=15}, {10=33}, {17=34}, {21=32}, {25=29}, {26=28}]
9.0: [{5=32}, {6=19}, {8=33}, {11=24}, {11=33}, {15=27}]
8.0: [{11=27}, {21=31}, {25=31}, {26=40}]
7.0: [{7=29}, {7=32}, {15=30}, {17=35}, {19=35}, {24=39}]
6.0: [{10=15}, {12=15}, {13=38}, {13=39}, {15=22}, {18=25}, {25=39}]
5.0: [{10=24}, {11=17}, {11=19}, {14=18}, {15=35}, {15=38}, {15=40}, {17=19}, {22=26}, {22=30}, {25=40}, {27=34}]
4.0: [{12=30}, {12=39}, {14=19}, {14=21}, {21=27}, {21=30}, {21=36}, {27=28}, {27=36}, {30=38}, {32=36}]
3.0: [{9=19}, {11=14}, {13=20}, {14=39}, {15=25}, {15=37}, {17=32}, {21=34}, {22=32}, {30=40}]
2.0: [{9=14}, {10=17}, {10=20}, {10=25}, {12=29}, {21=25}, {21=35}, {24=35}, {25=28}, {25=30}, {31=34}, {31=36}, {32=34}]
1.0: [{6=32}, {7=13}, {9=32}, {9=33}, {10=18}, {11=26}, {13=19}, {13=31}, {13=35}, {13=40}, {14=24}, {14=29}, {14=40}, {15=26}, {15=33}, {17=26}, {19=25}, {19=26}, {20=32}, {20=35}, {23=32}, {24=32}, {24=33}, {30=39}]
0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}, {1=12}, {1=13}, {1=14}, {1=15}, {1=16}, {1=17}, {1=18}, {1=19}, {1=20}, {1=21}, {1=22}, {1=23}, {1=24}, {1=25}, {1=26}, {1=27}, {1=28}, {1=29}, {1=30}, {1=31}, {1=32}, {1=33}, {1=34}, {1=35}, {1=36}, {1=37}, {1=38}, {1=39}, {1=40}, {1=41}, {1=42}, {1=43}, {1=44}, {2=3}, {2=41}, {2=42}, {2=43}, {2=44}, {3=4}, {3=5}, {3=6}, {3=7}, {3=8}, {3=9}, {3=10}, {3=11}, {3=12}, {3=13}, {3=14}, {3=15}, {3=16}, {3=17}, {3=18}, {3=19}, {3=20}, {3=21}, {3=22}, {3=23}, {3=24}, {3=25}, {3=26}, {3=27}, {3=28}, {3=29}, {3=30}, {3=31}, {3=32}, {3=33}, {3=34}, {3=35}, {3=36}, {3=37}, {3=38}, {3=39}, {3=40}, {3=41}, {3=42}, {3=43}, {3=44}, {4=41}, {4=42}, {4=43}, {4=44}, {5=12}, {5=41}, {5=42}, {5=43}, {5=44}, {6=7}, {6=8}, {6=9}, {6=10}, {6=11}, {6=12}, {6=13}, {6=41}, {6=42}, {6=43}, {6=44}, {7=8}, {7=9}, {7=10}, {7=11}, {7=12}, {7=41}, {7=42}, {7=43}, {7=44}, {8=9}, {8=10}, {8=11}, {8=12}, {8=13}, {8=32}, {8=41}, {8=42}, {8=43}, {8=44}, {9=10}, {9=11}, {9=12}, {9=25}, {9=26}, {9=41}, {9=42}, {9=43}, {9=44}, {10=11}, {10=12}, {10=13}, {10=14}, {10=19}, {10=23}, {10=26}, {10=32}, {10=35}, {10=41}, {10=42}, {10=43}, {10=44}, {11=12}, {11=13}, {11=32}, {11=41}, {11=42}, {11=43}, {11=44}, {12=13}, {12=14}, {12=17}, {12=18}, {12=19}, {12=20}, {12=21}, {12=23}, {12=24}, {12=25}, {12=26}, {12=27}, {12=32}, {12=33}, {12=35}, {12=36}, {12=41}, {12=42}, {12=43}, {12=44}, {13=14}, {13=17}, {13=18}, {13=23}, {13=24}, {13=25}, {13=26}, {13=27}, {13=29}, {13=30}, {13=32}, {13=33}, {13=36}, {13=41}, {13=42}, {13=43}, {13=44}, {14=17}, {14=20}, {14=22}, {14=25}, {14=26}, {14=27}, {14=32}, {14=34}, {14=35}, {14=36}, {14=41}, {14=42}, {14=43}, {14=44}, {15=39}, {15=41}, {15=42}, {15=43}, {15=44}, {16=41}, {16=42}, {16=43}, {16=44}, {17=41}, {17=42}, {17=43}, {17=44}, {18=19}, {18=32}, {18=41}, {18=42}, {18=43}, {18=44}, {19=32}, {19=41}, {19=42}, {19=43}, {19=44}, {20=25}, {20=26}, {20=41}, {20=42}, {20=43}, {20=44}, {21=33}, {21=39}, {21=40}, {21=41}, {21=42}, {21=43}, {21=44}, {22=33}, {22=34}, {22=35}, {22=36}, {22=37}, {22=38}, {22=39}, {22=40}, {22=41}, {22=42}, {22=43}, {22=44}, {23=41}, {23=42}, {23=43}, {23=44}, {24=41}, {24=42}, {24=43}, {24=44}, {25=26}, {25=27}, {25=32}, {25=33}, {25=34}, {25=35}, {25=36}, {25=41}, {25=42}, {25=43}, {25=44}, {26=27}, {26=29}, {26=32}, {26=33}, {26=34}, {26=35}, {26=36}, {26=41}, {26=42}, {26=43}, {26=44}, {27=33}, {27=35}, {27=41}, {27=42}, {27=43}, {27=44}, {28=35}, {28=41}, {28=42}, {28=43}, {28=44}, {29=35}, {29=41}, {29=42}, {29=43}, {29=44}, {30=33}, {30=34}, {30=35}, {30=36}, {30=41}, {30=42}, {30=43}, {30=44}, {31=33}, {31=35}, {31=41}, {31=42}, {31=43}, {31=44}, {32=35}, {32=41}, {32=42}, {32=43}, {32=44}, {33=34}, {33=35}, {33=36}, {33=37}, {33=38}, {33=39}, {33=40}, {33=41}, {33=42}, {33=43}, {33=44}, {34=35}, {34=36}, {34=37}, {34=38}, {34=39}, {34=40}, {34=41}, {34=42}, {34=43}, {34=44}, {35=36}, {35=37}, {35=38}, {35=39}, {35=40}, {35=41}, {35=42}, {35=43}, {35=44}, {36=37}, {36=38}, {36=39}, {36=40}, {36=41}, {36=42}, {36=43}, {36=44}, {37=38}, {37=39}, {37=40}, {37=41}, {37=42}, {37=43}, {37=44}, {38=39}, {38=40}, {38=41}, {38=42}, {38=43}, {38=44}, {39=40}, {39=41}, {39=42}, {39=43}, {39=44}, {40=41}, {40=42}, {40=43}, {40=44}, {41=42}, {41=43}, {41=44}, {42=43}, {42=44}, {43=44}]
