;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 21;;;;;;;;;;;;;;;;;;;;;;1479,750;2819,959;150,668;336,720;234,047;-11,840;-7,817;-15,734;7,015;2,389;134,824;317,330;248,254;45,448;82,358;564,171;1334,092;913,907;5164,506;-75,887;120,205;69,743;4,698;85,098;156,293;-32,983;1,121;22,696;161,483;58,964;1028,424;1292,549;-7,200;288,880;0,489;-6,187;632,053;155,883;520,597;122,777;-26,531;0,751;15,096;0,000;0,000;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-12,579;-49,821;-96,807;30,323;29,522;-15,103;-16,291;2,171;-12,070;-21,984;61,777;35,527;30,685;45,225;303,774;-55,932;-9,046;228,492;-91,539;25,542;29,993;-6,600;4,208;41,816;-10,817;-7,293;7,219;50,537;-8,746;17,673;1612,205;-12,480;18,998;209,463;2,602;-29,116;-2,453;43,296;1,313;4,597;-5,280;-26,158;0,000;0,000;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;-1,331;24,423;40,483;-20,483;-19,006;-37,072;4,436;4,678;-5,449;70,664;131,106;-1,890;109,301;173,858;69,387;12,626;875,566;-72,595;72,934;13,081;-13,089;65,497;111,914;10,057;9,107;14,974;7,606;18,912;226,435;-15,429;-1,108;51,384;72,959;-19,042;105,264;32,088;22,689;-43,490;-11,092;3,445;0,337;0,000;0,000;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;3528,869;-25,454;1,962;-10,866;1,537;-1,785;3,414;7,609;98,771;16,029;26,237;69,796;144,357;1441,729;32,924;1248,790;2084,226;-37,808;-21,759;1,483;110,579;62,574;36,914;3,328;-13,923;15,947;-0,372;0,472;-44,939;15,874;56,317;81,869;25,465;-94,367;7,067;23,763;21,674;34,217;2,781;-12,970;0,000;0,000;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-17,672;10,404;0,404;24,306;-13,263;-7,752;19,265;158,312;117,592;8,758;199,218;292,045;2949,506;176,626;2649,445;5150,969;-10,377;2,628;8,200;197,015;155,297;31,721;4,157;-12,323;-10,148;-6,672;0,811;-49,734;8,981;43,867;120,437;-0,608;9,249;24,176;-64,483;112,738;54,848;-4,158;-12,147;0,000;0,000;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;1438,850;93,511;694,545;6,075;21,443;-17,589;60,151;37,219;-19,945;37,765;68,868;23,971;65,531;560,583;15,378;43,725;27,243;-15,522;211,263;113,962;91,846;8,230;-0,479;-30,193;43,435;232,634;15,601;-2,319;-24,130;484,106;-16,708;150,718;-10,957;-10,576;0,901;-12,276;1,114;-8,763;0,000;0,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,741;246,887;11,812;13,403;35,983;96,999;58,181;-2,900;-14,004;54,399;2,193;22,898;264,990;1,184;70,450;11,905;9,880;41,567;106,201;48,051;2,629;-1,262;-7,238;33,191;10,772;18,988;-1,755;6,899;417,084;-15,497;58,739;-1,613;28,700;-1,821;-6,404;-2,147;-10,704;0,000;0,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;514,383;-2,226;-5,544;6,478;36,956;4,522;2,287;25,136;7,696;54,360;51,395;83,906;-4,277;-9,795;1,364;-0,845;13,075;5,319;205,311;2,400;-1,842;-0,080;0,372;12,422;-22,560;-4,666;27,833;-0,964;3,220;61,789;2,161;25,008;27,180;-2,933;-0,508;-1,201;0,000;0,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,587;-12,783;62,892;102,813;7,984;42,966;148,395;292,071;147,474;79,868;371,932;111,430;-9,558;-12,703;20,385;283,358;223,864;207,230;231,571;22,564;-11,526;-7,236;47,626;-13,856;-6,588;106,674;403,285;27,701;327,715;1,978;373,443;240,879;11,421;-4,471;11,348;0,000;0,000;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;328,267;-1,289;31,785;0,905;-2,322;34,483;74,354;26,577;23,241;89,756;7,803;4,374;-1,344;4,329;-1,823;10,284;-1,519;-5,647;-4,668;50,797;-1,738;2,102;4,969;6,303;19,310;6,206;4,528;15,530;-3,196;12,427;-14,612;0,513;0,013;-3,674;0,000;0,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,242;148,763;20,576;8,036;54,173;36,017;18,220;3,560;732,192;4,775;5,833;4,124;-2,782;-24,119;26,383;-11,051;-13,988;-10,146;43,703;-4,082;-11,950;-1,329;6,424;98,645;22,384;0,555;30,268;-3,183;-1,145;-19,032;1,391;-6,693;4,791;0,000;0,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,264;1622,952;-54,653;-19,294;1187,071;46,716;26,528;166,983;-8,960;43,762;-2,826;878,410;-61,420;34,060;51,906;-6,776;1,152;-12,442;-6,711;-15,880;23,065;8,806;60,690;-0,533;-31,180;3,570;-1,508;35,180;19,092;2,965;2,486;7,292;0,000;0,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2158,895;513,148;1262,767;2297,985;2348,736;1149,841;2443,108;1441,794;2713,868;1622,768;-52,001;766,347;202,380;145,337;5,600;-10,253;-19,667;9,972;17,663;222,174;10,701;8232,534;4,707;-35,475;643,526;2,291;175,360;268,115;50,477;-17,482;6,389;0,000;0,000;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,605;-8,653;766,713;324,833;281,322;132,730;284,442;907,124;641,828;869,482;607,331;37,045;19,031;5,295;-8,535;5,220;4,839;21,339;86,414;5,251;1107,081;72,003;-17,751;680,614;63,233;144,687;194,016;-7,084;20,991;-21,491;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148,669;156,440;152,020;115,181;1333,670;74,000;519,423;482,784;-12,333;107,099;125,980;455,109;3,572;-1,695;-4,066;12,001;-21,368;36,029;-3,466;-10,666;87,562;2158,091;638,997;-5,369;75,318;61,042;-8,579;-2,472;50,339;0,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5425,160;258,187;347,490;1600,353;210,999;730,803;-25,468;29,808;49,891;-13,833;147,349;-0,333;5,741;188,627;27,530;-4,783;155,102;204,900;538,211;-29,425;154,975;1051,201;12,606;138,573;338,812;-2,798;-14,922;-0,759;0,000;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1878,070;1723,618;5249,869;529,498;1054,793;306,220;9,499;895,291;723,269;207,706;13,374;39,541;278,370;12,711;0,945;195,425;214,970;1215,025;110,033;131,856;2330,911;20,847;584,968;773,928;22,750;5,959;42,989;0,000;0,000;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9332,237;12051,850;3129,129;568,831;165,853;28,291;19,200;634,424;212,351;13,264;-0,670;41,370;-25,780;-60,303;465,614;6,437;2279,007;261,068;-32,359;1466,995;-21,971;666,956;826,234;-4,140;-0,029;13,528;0,000;0,000;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7777,367;641,260;187,259;151,773;20,610;-29,059;370,594;125,712;21,972;13,410;-2,071;-17,471;-56,393;443,979;-6,909;1034,219;197,152;-12,087;479,781;-10,765;314,882;430,416;9,764;1,908;24,223;0,000;0,000;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,982;939,921;201,550;64,707;103,230;1093,326;121,358;6,845;265,229;189,418;20,047;118,333;583,878;-13,833;2218,214;165,459;410,164;8146,528;231,579;1033,067;2361,415;105,525;-14,219;31,130;0,000;0,000;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,539;13,978;-7,607;210,004;26,473;219,959;8,583;-4,413;65,823;4,750;-22,583;-76,386;25,873;1252,698;341,561;35,133;-46,116;1,232;246,064;449,016;20,434;0,768;-7,929;0,000;0,000;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1541,468;13,392;109,057;129,371;-11,370;117,328;4,665;20,208;7,889;-28,937;46,590;25,854;49,897;579,793;46,567;115,206;4,367;23,838;22,207;42,128;2,664;58,904;0,000;0,000;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,221;1,605;-8,259;-19,189;5,634;-5,394;5,478;2,577;-2,670;22,424;5,730;2,769;8,083;6,687;16,473;0,035;-3,507;20,157;-9,787;1,047;8,729;0,000;0,000;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-39,870;11,611;7,799;0,634;2,888;-8,018;-4,130;-3,283;6,863;5,561;-21,595;-5,007;-24,093;4,867;0,824;-1,538;-0,182;-4,749;-0,136;12,955;0,000;0,000;0,000;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,304;84,109;-3,443;-1,457;3,474;-7,734;106,441;109,708;80,249;711,806;52,797;104,524;572,658;4,233;346,088;114,000;46,363;13,513;-7,609;0,000;0,000;0,000;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-43,261;7,258;25,132;-3,766;0,806;28,923;74,519;92,435;221,699;58,593;115,497;468,157;27,749;117,587;136,671;-3,696;-1,035;4,484;0,000;0,000;0,000;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,005;-10,465;4,029;7,300;18,687;21,416;137,707;53,136;59,897;433,188;353,772;6,973;13,656;135,097;25,585;-5,205;33,586;0,000;0,000;0,000;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,866;-14,550;2,733;5,606;-7,287;-5,391;23,202;2,736;6,786;143,273;1,296;-14,721;-8,481;-0,725;-3,315;-3,003;0,000;0,000;0,000;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,928;2,820;25,476;10,779;-8,260;-28,237;-25,908;-3,225;9,052;-2,382;15,113;0,881;-0,424;-0,875;-6,630;0,000;0,000;0,000;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,008;106,236;30,106;-7,326;7,859;8,247;-0,817;20,799;1,474;-15,224;-6,437;6,028;0,915;-0,641;0,000;0,000;0,000;0,000;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135,587;-8,622;4,078;11,731;-1,332;13,583;89,613;1,089;37,703;-7,856;-1,317;-0,524;-2,885;0,000;0,000;0,000;0,000;0,000;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,696;-0,346;13,782;80,104;-4,232;91,969;-0,701;29,042;-2,824;-0,641;2,042;-2,816;0,000;0,000;0,000;0,000;0,000;0,000
Router 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13,665;216,484;50,221;15,111;41,560;-6,034;-1,904;66,495;-4,088;1,859;-2,800;0,000;0,000;0,000;0,000;0,000;0,000
Router 54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,240;0,817;9,198;-19,781;5,814;-12,435;27,356;-5,764;-1,038;5,368;0,000;0,000;0,000;0,000;0,000;0,000
Router 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;963,570;-57,825;731,578;-14,160;180,039;217,735;61,376;-6,583;169,878;0,000;0,000;0,000;0,000;0,000;0,000
Router 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,390;1548,024;19,425;286,891;211,963;-35,567;4,716;23,190;0,000;0,000;0,000;0,000;0,000;0,000
Router 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69,041;-0,324;37,813;26,776;-9,917;-10,174;4,960;0,000;0,000;0,000;0,000;0,000;0,000
Router 58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,813;8,250;140,996;11,831;19,169;110,575;0,000;0,000;0,000;0,000;0,000;0,000
Router 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,007;-1,531;0,265;-2,702;-4,588;0,000;0,000;0,000;0,000;0,000;0,000
Router 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-153,974;43,667;7,405;71,759;0,000;0,000;0,000;0,000;0,000;0,000
Router 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,814;3,072;74,415;0,000;0,000;0,000;0,000;0,000;0,000
Router 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,659;4,812;0,000;0,000;0,000;0,000;0,000;0,000
Router 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,132;0,000;0,000;0,000;0,000;0,000;0,000
Router 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000
Router 65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
