;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 12;;;;;;;;;;;;;-10,945;-12,504;72,041;-83,824;-19,358;-135,435;58,155;52,176;-63,503;-33,400;51,230;-13,903;-19,053;-27,228;19,808;135,851;0,138;-10,842;67,125;-12,062;-4,015;41,740;-19,079;44,087;-46,142;21,593;-56,766;10,189;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-10,627;66,531;6,055;-70,985;13,952;-19,611;3,830;36,397;113,842;163,609;-41,619;-16,068;24,221;-51,025;87,575;27,980;-125,298;-132,902;17,411;9,250;6,963;7,899;25,888;-130,379;-146,340;60,854;-12,085;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;47,185;244,766;-75,740;-25,722;-26,008;81,174;101,968;-14,922;-100,756;90,266;-35,545;47,017;-57,921;109,774;25,469;193,436;98,136;-12,479;36,845;-66,584;-37,813;-57,754;-33,706;162,608;-145,179;43,925;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3931,153;280,166;293,196;154,325;202,995;41,452;-120,908;331,587;14,335;-54,353;53,076;46,663;57,959;183,557;30,392;60,123;93,596;-3,951;41,865;-45,300;-140,413;-113,338;-119,962;-41,563;65,570;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1402,980;4153,281;8618,866;2822,888;33,719;-13,616;3786,719;1709,109;215,003;-75,916;3,463;4783,416;2424,428;485,624;1589,620;560,897;353,015;62,353;391,270;2953,744;10620,515;16584,294;5766,348;620,936;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;5,265;-27,422;-62,002;65,539;-53,126;59,048;81,652;45,286;59,803;-5,302;656,156;42,809;712,116;738,600;-49,212;88,131;-121,045;18,376;10,716;92,003;767,354;100,347;-78,094;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-65,360;196,177;563,925;334,258;33,066;191,714;-259,631;108,864;30,048;92,400;662,665;1312,792;1818,146;-188,947;-30,329;339,908;115,178;361,802;639,797;2426,054;35,943;434,035;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;251,553;285,623;214,447;-163,033;12,432;-121,827;-119,763;84,899;77,893;2108,495;577,182;1262,117;31,923;302,913;-36,981;-209,290;26,750;1926,921;1313,021;954,002;797,566;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;155,774;89,962;333,385;27,195;-10,198;-126,367;59,420;474,370;1161,023;525,705;891,933;-85,067;154,029;-51,364;61,585;-97,730;1204,281;624,483;317,056;657,687;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;64,073;463,477;-66,088;18,161;-127,688;-30,596;139,854;-56,736;54,533;-171,333;183,311;-20,908;-254,102;-97,036;17,200;60,616;-102,937;53,405;-37,751;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;261,820;95,697;906,056;111,604;29,053;162,245;98,311;117,051;-45,750;91,244;27,136;-180,243;104,266;-272,493;27,227;-27,599;83,790;-91,669;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;491,705;52,076;-83,876;-86,382;2569,616;821,816;-151,237;350,414;-162,518;207,971;-140,959;103,417;293,026;1069,120;1319,290;673,172;340,861;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;33,964;157,646;-21,698;-90,054;29,609;114,129;257,262;-57,517;-32,348;-94,921;-83,968;266,099;54,443;906,132;28,238;225,813;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-56,584;-92,291;162,936;-92,251;126,991;64,287;128,632;105,285;-49,403;-82,975;-6,542;-130,560;94,057;-78,576;19,430;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-61,015;-102,687;-57,957;-14,050;-23,664;-19,536;3,587;-138,232;23,833;96,272;-308,168;-47,970;-192,740;139,071;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-186,494;321,942;6,888;202,902;54,339;-41,499;-8,545;-73,203;26,922;222,423;-99,354;-238,068;49,095;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;814,538;374,566;898,142;-6,945;404,891;68,641;401,348;175,297;1467,626;1713,973;618,358;587,522;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94,063;-24,250;-175,758;19,115;104,882;-108,493;34,199;369,604;174,933;95,350;-92,374;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5680,296;-153,205;54,289;10,270;44,225;69,917;31,832;-235,823;-59,425;-245,993;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,096;78,832;-48,717;-166,451;50,793;28,810;-147,131;323,649;5545,496;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,558;1,861;-38,883;79,565;20,625;-9,976;9,897;119,116;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-79,083;-7,881;-42,848;219,595;104,930;28,043;162,302;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,770;-99,580;78,866;-248,320;214,651;-152,072;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,978;-183,112;145,497;-4,730;-80,368;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96,828;-20,988;-62,000;50,722;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,751;4,756;-77,504;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-181,478;-352,287;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240,529;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
