;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 23;;;;;;;;;;;;;;;;;;;;;;;;526,375;-20,740;-60,233;-7,279;2396,318;685,643;103,427;353,328;-175,929;49,254;6,689;93,212;115,822;1186,353;1297,417;264,087;188,855;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-39,050;73,726;-53,042;-127,888;-14,229;343,392;408,927;-51,061;-66,541;53,180;-86,148;95,025;226,591;983,234;-12,713;149,483;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-38,965;-62,200;-157,832;-144,307;-82,663;-267,872;30,325;65,097;-34,159;20,295;40,902;-187,242;-354,679;131,402;-103,541;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-146,828;-14,086;-51,038;41,955;35,597;-54,236;77,036;-29,664;21,993;32,933;48,969;-47,234;-126,640;-53,812;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-143,670;467,023;-4,756;60,334;37,798;4,459;90,179;-16,335;141,691;46,700;33,230;-146,525;0,643;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;897,766;636,076;820,056;-112,014;-8,474;-29,799;-27,555;-163,659;1387,653;2006,388;173,627;175,371;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,341;244,114;-23,389;-23,134;-176,136;-90,980;-18,073;114,037;-80,023;2,387;93,614;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5761,190;62,067;-56,564;-51,557;-67,010;-0,860;9,628;-213,789;103,712;-137,820;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,591;-7,674;24,726;-89,772;-255,845;21,445;-41,333;-7,449;5616,158;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-28,065;49,225;-3,378;-31,021;36,112;-217,616;3,780;128,184;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,000;31,492;-88,986;-158,677;-138,799;-114,541;-23,402;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,702;26,397;13,864;-13,509;48,740;-92,179;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-92,250;54,699;-37,372;49,564;-50,286;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,429;-241,108;-57,309;-360,621;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166,074;-129,057;-5,451;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-353,486;190,438;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,189;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
