;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 12;;;;;;;;;;;;;-25,598;50,856;-60,924;-79,998;-13,205;-194,391;67,725;-356,759;-12,500;-144,595;-268,280;-12,446;-67,086;-19,312;23,927;-130,799;-75,878;31,305;15,580;12,267;-62,162;-159,092;-53,378;-28,270;38,301;226,689;-43,705;84,057;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-101,775;-113,398;-514,963;-99,352;-196,974;-28,847;-81,168;-33,953;-104,497;-144,757;-50,763;83,209;-18,051;29,239;-507,126;-241,847;-145,089;-252,980;-57,783;67,657;-6,693;2,869;-171,041;-117,356;-201,950;-145,732;-194,859;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;21,288;-639,768;-194,874;-220,611;89,383;-241,949;-99,770;46,809;-195,594;-172,759;-141,489;-74,784;9,519;-153,074;21,459;-4,096;-164,946;-66,396;-92,137;-120,023;-58,682;3,153;74,247;-285,633;-255,879;-137,838;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3201,704;661,673;57,813;-289,720;100,562;-183,834;-239,950;156,689;37,145;-107,462;-39,126;-159,835;286,580;-153,615;-361,452;-113,943;-44,263;-93,233;-76,539;-70,510;16,031;-483,289;-382,063;-143,084;111,670;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;592,494;3142,059;8256,298;1961,589;-168,134;-492,054;2885,517;1315,097;-683,573;-1,222;-445,533;4213,798;1696,020;173,631;2049,331;-165,504;-378,924;-113,949;-284,242;2351,871;10418,751;16446,228;5666,764;672,126;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-33,773;-157,485;-111,740;-216,912;-168,281;-134,395;107,710;-155,471;-33,719;0,275;575,475;270,003;590,635;495,564;56,951;6,653;-20,049;-240,996;-101,420;-336,443;625,955;-20,793;-153,465;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-621,039;-227,133;192,790;65,389;-344,579;169,981;-396,951;-31,854;59,875;-98,797;270,813;1120,763;1594,438;-112,790;-175,957;-137,015;-178,436;297,565;401,291;2417,052;-70,084;-6,190;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-124,049;268,728;-151,483;-360,527;20,185;-23,948;-159,693;-79,772;-130,083;1852,500;582,960;1303,787;-209,017;89,410;-57,142;-230,967;-171,676;1722,429;976,934;712,936;520,407;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-5,178;226,888;-164,636;-403,812;-140,312;-11,429;-99,887;214,684;793,800;35,685;850,661;-71,976;92,483;-98,300;-287,835;-60,352;1090,728;635,154;422,958;612,873;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-321,495;62,030;17,896;89,788;62,641;-270,569;-615,036;-516,168;41,070;-219,817;-41,120;-120,787;-194,827;-279,400;-11,117;-90,988;-80,224;-281,083;-227,227;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;230,786;68,076;596,387;-179,085;-30,297;-117,374;-231,824;194,347;0,718;-54,958;-51,320;-104,831;-72,386;-240,558;-79,327;-482,875;-195,998;-289,559;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;441,896;-197,134;-186,660;65,625;2334,265;653,167;86,370;357,853;-173,233;91,471;85,529;4,909;118,573;936,948;1082,380;91,069;424,556;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-120,927;-9,721;-209,963;-178,832;-22,295;276,187;429,421;-147,765;-64,961;78,855;-115,135;3,641;297,103;1087,034;-213,832;204,080;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;39,253;-152,873;-315,758;-140,980;-260,679;-410,315;-149,658;28,510;-77,658;36,704;50,821;-243,547;-455,779;-3,682;-250,885;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-95,540;115,519;-147,216;-89,852;-307,653;3,002;107,357;14,700;-10,696;41,648;11,795;-50,455;-157,864;-245,028;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-493,595;270,061;-42,326;-72,660;59,070;-58,053;118,579;2,628;165,153;130,938;-243,437;-247,243;-44,579;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;736,688;445,782;882,648;19,859;-71,901;-78,923;-37,155;-297,212;1380,181;1891,551;183,284;186,023;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215,594;46,890;-14,555;-65,474;-339,350;-143,321;79,635;-310,798;-233,281;-52,248;195,471;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5633,675;-46,845;-103,757;-111,249;-156,630;-134,823;23,583;-219,890;140,054;-241,703;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-147,967;-32,811;-250,768;-226,333;-421,026;-96,032;18,417;133,907;5624,104;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-32,353;3,194;-44,456;10,911;113,123;-448,519;63,081;-161,494;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110,190;-18,586;-66,492;-87,338;-126,843;-151,115;83,358;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,728;4,368;-18,792;-178,980;113,783;-148,667;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-117,751;-52,447;-368,775;-60,438;-126,194;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,643;-418,484;-146,395;-341,986;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-103,150;-221,772;-173,294;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-305,316;-233,249;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-138,308;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
