0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}, {1=12}, {1=13}, {1=14}, {1=15}, {1=16}, {1=17}, {1=18}, {1=19}, {1=20}, {1=21}, {1=22}, {1=23}, {1=24}, {1=25}, {1=26}, {1=27}, {1=28}, {1=29}, {1=30}, {1=31}, {1=32}, {1=33}, {1=34}, {1=35}, {1=36}, {1=37}, {1=38}, {1=39}, {1=40}, {1=41}, {1=42}, {1=43}, {1=44}, {2=3}, {2=9}, {2=10}, {2=11}, {2=12}, {2=13}, {2=14}, {2=15}, {2=24}, {2=25}, {2=26}, {2=27}, {2=32}, {2=33}, {2=34}, {2=35}, {2=36}, {2=41}, {2=42}, {2=43}, {2=44}, {3=4}, {3=5}, {3=6}, {3=7}, {3=8}, {3=9}, {3=10}, {3=11}, {3=12}, {3=13}, {3=14}, {3=15}, {3=16}, {3=17}, {3=18}, {3=19}, {3=20}, {3=21}, {3=22}, {3=23}, {3=24}, {3=25}, {3=26}, {3=27}, {3=28}, {3=29}, {3=30}, {3=31}, {3=32}, {3=33}, {3=34}, {3=35}, {3=36}, {3=37}, {3=38}, {3=39}, {3=40}, {3=41}, {3=42}, {3=43}, {3=44}, {4=9}, {4=10}, {4=11}, {4=12}, {4=13}, {4=14}, {4=15}, {4=24}, {4=25}, {4=26}, {4=27}, {4=32}, {4=33}, {4=34}, {4=35}, {4=36}, {4=41}, {4=42}, {4=43}, {4=44}, {5=9}, {5=10}, {5=11}, {5=12}, {5=13}, {5=14}, {5=15}, {5=24}, {5=25}, {5=26}, {5=27}, {5=32}, {5=33}, {5=34}, {5=35}, {5=36}, {5=41}, {5=42}, {5=43}, {5=44}, {6=9}, {6=10}, {6=11}, {6=12}, {6=13}, {6=14}, {6=15}, {6=24}, {6=25}, {6=26}, {6=27}, {6=32}, {6=33}, {6=34}, {6=35}, {6=36}, {6=41}, {6=42}, {6=43}, {6=44}, {7=9}, {7=10}, {7=11}, {7=12}, {7=13}, {7=14}, {7=15}, {7=24}, {7=25}, {7=26}, {7=27}, {7=32}, {7=33}, {7=34}, {7=35}, {7=36}, {7=41}, {7=42}, {7=43}, {7=44}, {8=9}, {8=10}, {8=11}, {8=12}, {8=13}, {8=14}, {8=15}, {8=24}, {8=25}, {8=26}, {8=27}, {8=32}, {8=33}, {8=34}, {8=35}, {8=36}, {8=41}, {8=42}, {8=43}, {8=44}, {9=10}, {9=11}, {9=12}, {9=13}, {9=14}, {9=15}, {9=16}, {9=17}, {9=18}, {9=19}, {9=20}, {9=21}, {9=22}, {9=23}, {9=24}, {9=25}, {9=26}, {9=27}, {9=28}, {9=29}, {9=30}, {9=31}, {9=32}, {9=33}, {9=34}, {9=35}, {9=36}, {9=37}, {9=38}, {9=39}, {9=40}, {9=41}, {9=42}, {9=43}, {9=44}, {10=11}, {10=12}, {10=13}, {10=14}, {10=15}, {10=16}, {10=17}, {10=18}, {10=19}, {10=20}, {10=21}, {10=22}, {10=23}, {10=24}, {10=25}, {10=26}, {10=27}, {10=28}, {10=29}, {10=30}, {10=31}, {10=32}, {10=33}, {10=34}, {10=35}, {10=36}, {10=37}, {10=38}, {10=39}, {10=40}, {10=41}, {10=42}, {10=43}, {10=44}, {11=12}, {11=13}, {11=14}, {11=15}, {11=16}, {11=17}, {11=18}, {11=19}, {11=20}, {11=21}, {11=22}, {11=23}, {11=24}, {11=25}, {11=26}, {11=27}, {11=28}, {11=29}, {11=30}, {11=31}, {11=32}, {11=33}, {11=34}, {11=35}, {11=36}, {11=37}, {11=38}, {11=39}, {11=40}, {11=41}, {11=42}, {11=43}, {11=44}, {12=13}, {12=14}, {12=15}, {12=16}, {12=17}, {12=18}, {12=19}, {12=20}, {12=21}, {12=22}, {12=23}, {12=24}, {12=25}, {12=26}, {12=27}, {12=28}, {12=29}, {12=30}, {12=31}, {12=32}, {12=33}, {12=34}, {12=35}, {12=36}, {12=37}, {12=38}, {12=39}, {12=40}, {12=41}, {12=42}, {12=43}, {12=44}, {13=14}, {13=15}, {13=16}, {13=17}, {13=18}, {13=19}, {13=20}, {13=21}, {13=22}, {13=23}, {13=24}, {13=25}, {13=26}, {13=27}, {13=28}, {13=29}, {13=30}, {13=31}, {13=32}, {13=33}, {13=34}, {13=35}, {13=36}, {13=37}, {13=38}, {13=39}, {13=40}, {13=41}, {13=42}, {13=43}, {13=44}, {14=15}, {14=16}, {14=17}, {14=18}, {14=19}, {14=20}, {14=21}, {14=22}, {14=23}, {14=24}, {14=25}, {14=26}, {14=27}, {14=28}, {14=29}, {14=30}, {14=31}, {14=32}, {14=33}, {14=34}, {14=35}, {14=36}, {14=37}, {14=38}, {14=39}, {14=40}, {14=41}, {14=42}, {14=43}, {14=44}, {15=16}, {15=17}, {15=18}, {15=19}, {15=20}, {15=21}, {15=22}, {15=23}, {15=24}, {15=25}, {15=26}, {15=27}, {15=28}, {15=29}, {15=30}, {15=31}, {15=32}, {15=33}, {15=34}, {15=35}, {15=36}, {15=37}, {15=38}, {15=39}, {15=40}, {15=41}, {15=42}, {15=43}, {15=44}, {16=24}, {16=25}, {16=26}, {16=27}, {16=32}, {16=33}, {16=34}, {16=35}, {16=36}, {16=41}, {16=42}, {16=43}, {16=44}, {17=24}, {17=25}, {17=26}, {17=27}, {17=32}, {17=33}, {17=34}, {17=35}, {17=36}, {17=41}, {17=42}, {17=43}, {17=44}, {18=24}, {18=25}, {18=26}, {18=27}, {18=32}, {18=33}, {18=34}, {18=35}, {18=36}, {18=41}, {18=42}, {18=43}, {18=44}, {19=24}, {19=25}, {19=26}, {19=27}, {19=32}, {19=33}, {19=34}, {19=35}, {19=36}, {19=41}, {19=42}, {19=43}, {19=44}, {20=24}, {20=25}, {20=26}, {20=27}, {20=32}, {20=33}, {20=34}, {20=35}, {20=36}, {20=41}, {20=42}, {20=43}, {20=44}, {21=24}, {21=25}, {21=26}, {21=27}, {21=32}, {21=33}, {21=34}, {21=35}, {21=36}, {21=41}, {21=42}, {21=43}, {21=44}, {22=24}, {22=25}, {22=26}, {22=27}, {22=32}, {22=33}, {22=34}, {22=35}, {22=36}, {22=41}, {22=42}, {22=43}, {22=44}, {23=24}, {23=25}, {23=26}, {23=27}, {23=32}, {23=33}, {23=34}, {23=35}, {23=36}, {23=41}, {23=42}, {23=43}, {23=44}, {24=25}, {24=26}, {24=27}, {24=28}, {24=29}, {24=30}, {24=31}, {24=32}, {24=33}, {24=34}, {24=35}, {24=36}, {24=37}, {24=38}, {24=39}, {24=40}, {24=41}, {24=42}, {24=43}, {24=44}, {25=26}, {25=27}, {25=28}, {25=29}, {25=30}, {25=31}, {25=32}, {25=33}, {25=34}, {25=35}, {25=36}, {25=37}, {25=38}, {25=39}, {25=40}, {25=41}, {25=42}, {25=43}, {25=44}, {26=27}, {26=28}, {26=29}, {26=30}, {26=31}, {26=32}, {26=33}, {26=34}, {26=35}, {26=36}, {26=37}, {26=38}, {26=39}, {26=40}, {26=41}, {26=42}, {26=43}, {26=44}, {27=28}, {27=29}, {27=30}, {27=31}, {27=32}, {27=33}, {27=34}, {27=35}, {27=36}, {27=37}, {27=38}, {27=39}, {27=40}, {27=41}, {27=42}, {27=43}, {27=44}, {28=32}, {28=33}, {28=34}, {28=35}, {28=36}, {28=41}, {28=42}, {28=43}, {28=44}, {29=32}, {29=33}, {29=34}, {29=35}, {29=36}, {29=41}, {29=42}, {29=43}, {29=44}, {30=32}, {30=33}, {30=34}, {30=35}, {30=36}, {30=41}, {30=42}, {30=43}, {30=44}, {31=32}, {31=33}, {31=34}, {31=35}, {31=36}, {31=41}, {31=42}, {31=43}, {31=44}, {32=33}, {32=34}, {32=35}, {32=36}, {32=37}, {32=38}, {32=39}, {32=40}, {32=41}, {32=42}, {32=43}, {32=44}, {33=34}, {33=35}, {33=36}, {33=37}, {33=38}, {33=39}, {33=40}, {33=41}, {33=42}, {33=43}, {33=44}, {34=35}, {34=36}, {34=37}, {34=38}, {34=39}, {34=40}, {34=41}, {34=42}, {34=43}, {34=44}, {35=36}, {35=37}, {35=38}, {35=39}, {35=40}, {35=41}, {35=42}, {35=43}, {35=44}, {36=37}, {36=38}, {36=39}, {36=40}, {36=41}, {36=42}, {36=43}, {36=44}, {37=41}, {37=42}, {37=43}, {37=44}, {38=41}, {38=42}, {38=43}, {38=44}, {39=41}, {39=42}, {39=43}, {39=44}, {40=41}, {40=42}, {40=43}, {40=44}, {41=42}, {41=43}, {41=44}, {42=43}, {42=44}, {43=44}]
-3.222804770945004: [{17=19}]
-4.881964277194129: [{22=30}]
-6.159866990497903: [{21=22}]
-6.423775607292555: [{22=31}]
-6.863792998990903: [{6=8}]
-15.680135525659352: [{30=40}]
-17.213067971153578: [{22=40}]
-20.057549713532353: [{22=38}]
-31.516566430847888: [{22=29}]
